product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date
Paprika,https://offer-images.api.edeka/58663bcd-835d-40d8-a8a4-32708ce59773_Paprika_Mix_1_PL.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, aus Deutschland oder Belgien, Klasse I, 1 kg",,4.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Unsere Heimat – echt & gut Bio Shii Take,https://offer-images.api.edeka/a397ec1b-6e06-440b-a75b-249968f2d34c_80631011-BIO_UHB_SHIITAKE_2_DE-HE_150G-A.png?imwidth=3840&imdensity=1,,,,"oder Kräuterseitlinge, aus Deutschland, 150-g-Schale",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Mini Rispentomaten,https://offer-images.api.edeka/9c3588a6-5265-4a44-95d4-a18043009ac2_80120290-EDK_MINI_RISP.TOM.NL_I_400G_SF-A.png?imwidth=3840&imdensity=1,,,,"aus den Niederlanden oder Belgien, Klasse I, 400-g-Schale",SUPERKNÜLLER,1.00,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Süßkartoffeln,https://offer-images.api.edeka/203c670e-1c12-444a-96af-f07808629fbf_Fotolia_48495597_XXL_PLUS.png?imwidth=3840&imdensity=1,,,,"aus Ägypten, 1 kg",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Zuckermais,https://offer-images.api.edeka/af9de6f3-6f51-4374-96a9-2ac7eac79a9b_Maiskolben_iq.png?imwidth=3840&imdensity=1,,,,"frisch, vorgegart, aus Spanien, 2 Stück, Packung",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Edeka deli Snackschale „Caesar“,https://offer-images.api.edeka/835f3ae7-38f4-43ef-98c5-43cd33674b23_4311532063552_PER.png?imwidth=3840&imdensity=1,,,,280-g-Schale,,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Donnerstag bis Samstag: Pfifferlinge frisch,https://offer-images.api.edeka/1e510ab1-6d72-4777-9cc9-fa09cf2856c7_Fotolia_33384882_XXL_PLUS.png?imwidth=3840&imdensity=1,,,,"aus Serbien, 100 g",SUPERKNÜLLER,0.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Donnerstag bis Samstag: EDEKA Zwiebeln,https://offer-images.api.edeka/5b92c37c-6fee-48e0-9147-ce7b5653f51f_4311527156382_VOR.tif.png?imwidth=3840&imdensity=1,,,,"aus Neuseeland, Klasse I, 1-kg-Netz",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Donnerstag bis Samstag: Kopfsalat,https://offer-images.api.edeka/4d42641c-9ab2-47a7-a77e-4da3669745f7_KW19_Kopfsalat_1_PL.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse I, Stück",SUPERKNÜLLER,0.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Donnerstag bis Samstag: Gut & Günstig Gurken,https://offer-images.api.edeka/4dfade43-1a15-42be-8661-e974a72db502_028_iq.png?imwidth=3840&imdensity=1,,,,"aus Spanien oder den Niederlanden, Klasse I, Stück",SUPERKNÜLLER,0.39,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Donnerstag bis Samstag: SanLucar Zitronen,https://offer-images.api.edeka/63f2d4a2-1d61-41ae-a77b-c1f9a2193707_Girsack_Zitronen_Nemo.png?imwidth=3840&imdensity=1,,,,"aus Spanien, Klasse I, 500-g-Netz
 
• Schale zum Verzehr geeignet",SUPERKNÜLLER,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Gut & Günstig Möhren,https://offer-images.api.edeka/e52473b2-e519-4508-9d59-3689eb21bc74_80245328-GG_MOEHREN_DE_I_2KG_BT-A_retusche.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse I, 2-kg-XXL-Beutel",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
,,,,,,,,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07
Müller Froop,https://offer-images.api.edeka/527508cc-729e-4ef2-987b-f07d02228fca_Froop_-_Himbeere_auf_Joghurt.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, 150-g-Becher",SUPERKNÜLLER,0.33,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Salakis,https://offer-images.api.edeka/dbed5bb0-6426-43bf-9084-5f318d62f98d_3023260033424_VOR.tif.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, z. B. Natur, 48% Vollfettstufe, 180 g, Packung",,1.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Géramont Der Cremige,https://offer-images.api.edeka/b3c97844-6de0-402e-b5d6-d7d9e1295579_148929003_GERAMONT_NATUR_60PROZENT_DS_CA_1_8KG.png?imwidth=3840&imdensity=1,,,,"mind. 60% Fett i. Tr. oder Der Frische, mind. 64% Fett i. Tr., französischer Weichkäse aus Kuhmilch, mild, sahnig, 100 g",SUPERKNÜLLER,1.69,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Saint Albray,https://offer-images.api.edeka/95eb85f8-0c50-4934-9552-c06de34a5b98_3222110010695_VOR.tif.png?imwidth=3840&imdensity=1,,,,"vollmundig & würzig, mind. 62% Fett i. Tr., 6 x 30-g-Packung",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Chavroux milder Ziegenkäse,https://offer-images.api.edeka/f5e92246-4904-47f7-bedf-2d5d1ef710fa_3272770003148_VOR.tif.png?imwidth=3840&imdensity=1,,,,"mind. 45% Fett i. Tr., 150-g-Packung",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Kerrygold Original irischer Cheddar herzhaft,https://offer-images.api.edeka/c4418bd8-6488-4459-b52a-c21111d101d7_5410396152934_VOR.tif.png?imwidth=3840&imdensity=1,,,,"mind. 50% Fett i. Tr. und weitere Sorten, 150-g-Packung",,1.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Brunch Brotaufstrich,https://offer-images.api.edeka/96006b4d-1dc8-462f-bf6f-ab392d28d1c6_01_LAY_22_105_3D_Brunch_Kraeuter.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, 185-g-Becher",,1.19,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Kraxler-Käse,https://offer-images.api.edeka/98e3fa00-8127-426a-af14-480fff5c9352_22282945_DUMMYARTIKEL_KRAXLERKAESE.png?imwidth=3840&imdensity=1,,,,"mind. 50 % Fett, i. Tr., österreichischer Schnittkäse, mind. 4 Monate gereift, Oberfläche mit Rotschmierkulturen gepflegt, würzig, kompakt, 100 g",,1.69,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Ossau Iraty AOP,https://offer-images.api.edeka/1696d8be-bc9e-4344-9f66-21a507f46b9e_122502_28.png?imwidth=3840&imdensity=1,,,,"mind. 50% Fett i. Tr., französischer Schnittkäse aus Schafsmilch, aromatisch, nussig, 100 g",,3.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Kaltbach cremig-würzig,https://offer-images.api.edeka/4854242e-7674-4a48-b01a-77b02e746360_2813189_FC_CH_KALTBACH_CREMIG_WUERZIG_4.2KG.png?imwidth=3840&imdensity=1,,,,"Schweizer Schnittkäse, mind. 56% Fett i. Tr., würzig, leicht fruchtig, 4 Monate gereift, 100 g",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Fiorella di Tomino Torte,https://offer-images.api.edeka/e9990439-5de2-4b40-ae57-380b714bf02c_122110_80.png?imwidth=3840&imdensity=1,,,,"deutscher Weichkäse, mind. 68% Fett i. Tr., frisch säuerlich, leicht würzig, cremig, mit Weißschimmel überwachsen, 100 g",,2.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Sommelier Nr.1,https://offer-images.api.edeka/64209be5-eea0-4293-961e-fd835a08d072_Sommelier_No.1.png?imwidth=3840&imdensity=1,,,,"mind. 55% Fett i. Tr., Schweizer Hartkäse, aus Rohmilch, kräftig würzig im Geschmack, 100 g",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Vacherin des Bauges,https://offer-images.api.edeka/f526a188-b902-4a66-87e9-f01151d33114_Vacherin_des_Bauges_Kopie.png?imwidth=3840&imdensity=1,,,,"mind. 50% Fett i. Tr., französischer Weichkäse aus dem Savoyen, mit Rohmilch hergestellt, im Fichtenrindenmantel gereift, 100 g",,3.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Bleu de Basques,https://offer-images.api.edeka/f4311a8f-63fd-4da9-88fc-34d4f0b2351f_2023-06-16_11_49_19-bilder_bleu_de_basques_-_Bing_images_und_1_weitere_Seite_-_Profil_1_Microsoft_.png?imwidth=3840&imdensity=1,,,,"französischer Blauschimmelkäse, mind. 45% Fett i. Tr., Schafsmilch, aus den Pyrenären, würzig im Geschmack, 100 g",,3.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Montagnolo Mohn,https://offer-images.api.edeka/3c6ca56d-2779-4ee3-8220-587774493d44_Limoncino_Mohn.png?imwidth=3840&imdensity=1,,,,"mind. 70% Fett i. Tr., deutscher Edelpilzkäse, mit Limonen-Marmelade, Limoncello-Likör 26% Vol. und Blaumohn veredelt, 100 g",,4.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Orangen Pfeffercreme,https://offer-images.api.edeka/399d1c4a-03e2-4508-9051-6992f692e5f3_Orange-Pfeffer-Creme.png?imwidth=3840&imdensity=1,,,,"deutscher Frischkäse, mind. 70% Fett i. Tr., mit frischen Orangen und Pfefferkörnern verfeinert, 100 g",,1.69,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
EDEKA Mehrkornbaguette Gartenkräuter,https://offer-images.api.edeka/c1b3a743-7d18-4fbf-95d3-0cf8b0c5940b_4311501015674_PER.png?imwidth=3840&imdensity=1,,,,175-g-Packung,,0.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Zott Zottarella,https://offer-images.api.edeka/29220d04-2df6-4a43-90dd-d92af94456f7_221223-2_Zottarella_Classic_250g_Pizza1-Mockup.png?imwidth=3840&imdensity=1,,,,"mind. 45% Fett i. Tr., Abtropfgewicht 250 g, 400-g-Packung",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Mozzarella di Bufala,https://offer-images.api.edeka/42709977-3163-4772-994d-31768b4ac28f_122477_48.png?imwidth=3840&imdensity=1,,,,"italienische Pasta Filata, mind. 52% Fett i. Tr., aus Büffelmilch, frisch, milchig, leicht säuerlich, 100 g",,2.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Apostels Zaziki,https://offer-images.api.edeka/f4275f49-a2d4-4f70-8ae9-28f3416010ac_175135008-APOSTELS_ZAZIKI_200G.png?imwidth=3840&imdensity=1,,,,200-g-Becher,,0.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Weideglück Landjoghurt mild,https://offer-images.api.edeka/7c666668-67b6-47fa-8bf9-2cc916276776_4028900004641_VOR.tif.png?imwidth=3840&imdensity=1,,,,"3,5% Fett, 1-kg-Eimer",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Ehrmann High Protein Mousse Schokolade,https://offer-images.api.edeka/b3752bd6-f221-4be6-82bc-2d1998a39fd7_4002971283808.png?imwidth=3840&imdensity=1,,,,"oder Vanille, 200-g-Becher",SUPERKNÜLLER,1.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Meggle Kräuterbutter Original Portionen,https://offer-images.api.edeka/68f1b5d4-82fa-476d-8c0c-abf282be259e_147284004-MEG.KRAEUTERBUTTER_RG.5X20G.png?imwidth=3840&imdensity=1,,,,5 x 20-g-Packung,,1.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Meggle Aioli vegan,https://offer-images.api.edeka/69c56c2c-fbb3-485a-8c16-389ab915ddac_2006163_MEGGLE_Aioli_Vegan_Tube_80ml_Packshot_300ppi.png?imwidth=3840&imdensity=1,,,,80-ml-Tube,,1.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Bärenmarke frischer Eiskaffee Latte Macchiato,https://offer-images.api.edeka/2e8603d1-b391-49af-a423-50619c9eb507_BM_Der_Frische_Eiskaffee_LATM_3D_1L_rgb_150dpi_37099_Print_300dpi_.png?imwidth=3840&imdensity=1,,,,"oder haltbarer Eiskaffee klassisch, 1-L-Packung",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
