product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date
Mini Rispentomaten,https://offer-images.api.edeka/3c2a25e8-9433-4804-bb59-bcd128f9d7de_80120290-EDK_MINI_RISP.TOM.NL_I_400G_SF-A.png?imwidth=3840&imdensity=1,,,,"aus den Niederlanden oder Belgien, Klasse I, 400-g-Schale",SUPERKNÜLLER,1.00,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Süßkartoffeln,https://offer-images.api.edeka/d63e667f-fd4b-408a-a4e0-7f56e206666a_Fotolia_48495597_XXL_PLUS.png?imwidth=3840&imdensity=1,,,,"aus Ägypten, 1 kg",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Zuckermais,https://offer-images.api.edeka/21b97bd9-7bc9-4bcf-8086-71b25a3676ce_Maiskolben_iq.png?imwidth=3840&imdensity=1,,,,"frisch, vorgegart, aus Spanien, 2 Stück, Packung",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Edeka deli Snackschale „Caesar“,https://offer-images.api.edeka/4bd1e264-01ec-4537-9de5-dc9b1ac1b1d5_4311532063552_PER.png?imwidth=3840&imdensity=1,,,,280-g-Schale,,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Donnerstag bis Samstag: Pfifferlinge frisch,https://offer-images.api.edeka/3fd502e4-6330-49b1-8aa7-0ac578bc9b82_Fotolia_33384882_XXL_PLUS.png?imwidth=3840&imdensity=1,,,,"aus Serbien, 100 g",SUPERKNÜLLER,0.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Donnerstag bis Samstag: EDEKA Zwiebeln,https://offer-images.api.edeka/8cbfeae3-2596-48a3-8546-f21d108e3d29_4311527156382_VOR.tif.png?imwidth=3840&imdensity=1,,,,"aus Neuseeland, Klasse I, 1-kg-Netz",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Donnerstag bis Samstag: Kopfsalat,https://offer-images.api.edeka/8bc6c87a-c1f1-46bd-ba25-e27e493e313a_KW19_Kopfsalat_1_PL.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse I, Stück",SUPERKNÜLLER,0.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Donnerstag bis Samstag: Gut & Günstig Gurken,https://offer-images.api.edeka/7499fdbb-a736-4877-aed5-d4bc73020f98_028_iq.png?imwidth=3840&imdensity=1,,,,"aus Spanien oder den Niederlanden, Klasse I, Stück",SUPERKNÜLLER,0.39,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Donnerstag bis Samstag: SanLucar Zitronen,https://offer-images.api.edeka/ac26bada-fb41-4f58-b9cf-797cd0b4fcdd_Girsack_Zitronen_Nemo.png?imwidth=3840&imdensity=1,,,,"aus Spanien, Klasse I, 500-g-Netz
 
• Schale zum Verzehr geeignet",SUPERKNÜLLER,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Gut & Günstig Möhren,https://offer-images.api.edeka/50b642c1-070b-4cac-8d14-58ff74545a55_80245328-GG_MOEHREN_DE_I_2KG_BT-A_retusche.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse I, 2-kg-XXL-Beutel",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
