product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Rispentomaten,https://offer-images.api.edeka/7a4a1ef9-6da0-4bca-a512-ccb270bb7ada_AdobeStock_15425561.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus den Niederlanden oder Belgien, Klasse I, 1 kg",SUPERKNÜLLER,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Wassermelonen „Dumara“,https://offer-images.api.edeka/581d2c61-2784-4c7f-99b8-11c1cf0101fd_426_iq.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Italien, Klasse I, Stück
 
• Ganze Früchte – Mindestgewicht 7,5 kg",SUPERKNÜLLER,7.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Zuckermais,https://offer-images.api.edeka/a6508cd8-8eb3-4cf7-a596-a3d0cc8c772e_Maiskolben_iq.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"vorgegart, 2 Stück, Packung
 
• gekocht",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Bratpaprika „Padron“,https://offer-images.api.edeka/39f1f3fb-5436-4a91-a4f7-f640dd4aed96_4311527919796_VOR.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 200-g-Packung",Kein Etikett,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Cocktail Rispentomaten „Rubin“,https://offer-images.api.edeka/0f62a9a5-d55c-4343-ac91-89d2378ddbe9_Rubin_tomaten_400g_flowpack_DEU.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 400-g-Schale",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
EDEKA Avocados,https://offer-images.api.edeka/bf977722-b309-4b6b-b92a-356fc03c19ab_AdobeStock_51029296.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Peru oder Südafrika, Klasse I, Stück",SUPERKNÜLLER,1.11,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Zespri Kiwis,https://offer-images.api.edeka/a93a4103-975d-4b92-88ac-2f29c780a937_Zespri_Kiwi.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Neuseeland, Klasse I, Stück",Kein Etikett,0.55,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Aprikosen,https://offer-images.api.edeka/5dd681d2-2a30-4799-8fde-3d7746f3baa4_San_LucarAprikosen.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 1 kg",Kein Etikett,3.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Pink Lady Äpfel,https://offer-images.api.edeka/34e3e65f-8248-4880-b3b4-d5a5dcca6a8e_80045559-AEPFEL_PINK_LADY_CL_I_1KG_FT-C.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Neuseeland oder Südafrika, Klasse I, 1-kg-Schale
 
• Neue Ernte",Kein Etikett,2.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Saftorangen,https://offer-images.api.edeka/c382a4cc-1fb3-4ef3-ac81-97d010085d74_Orangen_Saftorangen_Morgensonne_1500g_Girsack.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 1,5-kg-Netz",Kein Etikett,3.33,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Bio Mangos,https://offer-images.api.edeka/e65ac0f1-b53f-4c39-9c88-fa81af3e5e99_AdobeStock_52874381.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus der Dominikanischen Republik oder der Elfenbeinküste, Klasse II, Stück",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
La Cubana Limetten,https://offer-images.api.edeka/b5d6da13-ac54-433a-b238-1cce0fa098c3_80471646-EDK_HAV_PERS.LIMET.VN_I_6ST_FT-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Vietnam, Klasse I, 6er-Schale
 
• Nach der Ernte unbehandelt",Kein Etikett,2.22,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Innocent Smoothie,https://offer-images.api.edeka/de2c6be3-6bd8-4289-aa16-4944f128b40f_5038862348102_Mango_Maracuja_Apfel.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, 0,25-L-Flasche
 
• In der Kühlung erhältlich",Kein Etikett,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Innocent Direktsaft,https://offer-images.api.edeka/5d4fb5eb-4661-4b37-aab0-c549bcd8d8bc_5038862430906.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"0,33-L-Flasche
 
• In der Kühlung erhältlich",Kein Etikett,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Valensina Klassischer Morgen,https://offer-images.api.edeka/1af05558-a1fe-4a9e-a2e5-bc8bb53df202_4009491015605.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, 1-L-Flasche
 
• In der Kühlung erhältlich",Kein Etikett,2.19,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Cocktail-Rispentomaten,https://offer-images.api.edeka/661dd781-fa67-4309-820e-70fd8893e25a_80141068-UH_COCK.RISTOM_DE-BW_I_300G_KT-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 300-g-Schale",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Mini Pflaumentomaten,https://offer-images.api.edeka/09a6bbc5-0f4e-4014-80a3-7d5c721f2f77_80813790-UH_MI.ROM.TOM.DE-BW_I_200G_KE-B.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 200-g-Becher",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Bio Möhren,https://offer-images.api.edeka/2e8475cd-d73b-433d-9c32-6f4a83c9a711_4311527016235_VOR-02.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Italien, Klasse II, 1-kg-Beutel",Kein Etikett,1.79,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Champignons weiß oder braun,https://offer-images.api.edeka/2fbb8217-fe7c-4857-8a26-83a3b8a4c58e_80219145-UH_CHAMP.WE_MI.DE-HE_I_300G_FT-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 300-g-Packung",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Eisbergsalat,https://offer-images.api.edeka/d79f32a2-f9f5-4d18-9962-138e6dc74f6a_Eisberg_2_PL_2.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, Stück",Kein Etikett,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Florette Sommergenuss,https://offer-images.api.edeka/b58d2fe6-4ced-4dba-a02e-e3ab38a32c19_3280220912162_VOR.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"300-g-Packung
 
• 300-g-packung",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Unsere Heimat – echt & gut Bio Bunte Salate,https://offer-images.api.edeka/a6d9b413-4f14-4c15-b733-5b483a31a7f2_80561600-BIO_UHN_MI.S076_DE-BW_I_6ST_DP-C.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, aus Deutschland, Klasse II, Stück",Kein Etikett,2.22,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Donnerstag bis Samstag: Heidelbeeren,https://offer-images.api.edeka/f3395bf0-0d8a-41e6-9670-40d4eef25181_80347101-KULTURHEIDELBEERE_DE_I_400G_SF-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 300-g-Schale",SUPERKNÜLLER,2.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
Donnerstag bis Samstag: Mixpaprika,https://offer-images.api.edeka/b95d6f8c-bc57-45c7-bbcd-70b59f26c90b_Paprika_Mix_1_PL.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien oder den Niederlanden, Klasse I, 500-g-Packung",SUPERKNÜLLER,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-15,Gültig vom 10.07.2023 bis zum 15.07.2023
