product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Rispentomaten,https://offer-images.api.edeka/a8f8f687-9246-4a52-b8f0-0969a870aa58_AdobeStock_15425561.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus den Niederlanden oder Belgien, Klasse I, 1 kg",SUPERKNÜLLER,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
Wassermelonen „Dumara“,https://offer-images.api.edeka/f8468aec-0325-4e8e-a074-03315fd876ae_426_iq.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Italien, Klasse I, Stück
 
• Ganze Früchte – Mindestgewicht 7,5 kg",SUPERKNÜLLER,7.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
Zuckermais,https://offer-images.api.edeka/02528d19-5b4c-45e6-a58c-b96b43541e81_Maiskolben_iq.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"vorgegart, 2 Stück, Packung
 
• gekocht",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
Bratpaprika „Padron“,https://offer-images.api.edeka/3f98eed2-32f5-4b92-902c-950fdcd5fd2e_4311527919796_VOR.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 200-g-Packung",Kein Etikett,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Cocktail Rispentomaten „Rubin“,https://offer-images.api.edeka/4265feb7-529f-41ba-bad7-a8231a20b913_Rubin_tomaten_400g_flowpack_DEU.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 400-g-Schale",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
EDEKA Avocados,https://offer-images.api.edeka/1f5e6d09-be31-4e6e-b72b-f27a770ebc9b_AdobeStock_51029296.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Peru oder Südafrika, Klasse I, Stück",SUPERKNÜLLER,1.11,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
Zespri Kiwis,https://offer-images.api.edeka/e3cf8555-3d75-4498-8832-b7b316c45581_Zespri_Kiwi.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Neuseeland, Klasse I, Stück",Kein Etikett,0.55,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Aprikosen,https://offer-images.api.edeka/f6868d64-6819-482a-acb2-a1a2ac68c104_San_LucarAprikosen.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 1 kg",Kein Etikett,3.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
Pink Lady Äpfel,https://offer-images.api.edeka/d9ecc092-0df2-4ca4-8f4e-4e4d74ce388b_80045559-AEPFEL_PINK_LADY_CL_I_1KG_FT-C.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Neuseeland oder Südafrika, Klasse I, 1-kg-Schale
 
• Neue Ernte",Kein Etikett,2.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Saftorangen,https://offer-images.api.edeka/ef0c3ee7-b20c-4a13-ad59-8e335d2ad4d3_Orangen_Saftorangen_Morgensonne_1500g_Girsack.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 1,5-kg-Netz",Kein Etikett,3.33,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-14,Gültig vom 10.07.2023 bis zum 15.07.2023
