product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category
SPECHT Aspikspezialität,https://kaufland.media.schwarz/is/image/schwarz/01388426FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01388426.html,je 100 g ,,1.19 ,mit Hähnchen und Paprikaoder mit Schinkenwürfeln und Champignons,69123,Kaufland,"Fleisch, Geflügel, Wurst"
Frischwurst-Aufschnitt,https://kaufland.media.schwarz/is/image/schwarz/00967260FRTB?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00967239.html,je 100 g ,,0.99 ,"versch. Sorten, z. B. Jagdwurst oder Lyoner",69123,Kaufland,"Fleisch, Geflügel, Wurst"
MONTORSI Mortadella Bologna IGP,https://kaufland.media.schwarz/is/image/schwarz/01025064FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01025064.html,100 g ,,1.29 ,"mit Pistazien, ital. Wurstspezialitätaus ausgewähltem Schweinefleisch,zart und aromatisch",69123,Kaufland,"Fleisch, Geflügel, Wurst"
ZIMMERMANN Gin-Schinken,https://kaufland.media.schwarz/is/image/schwarz/01161841FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01161841.html,100 g ,AKTION,1.49 *,saftig-zarter Schweineschinken aus Bayern,69123,Kaufland,"Fleisch, Geflügel, Wurst"
LANGEWIESCHE Putenbrust,https://kaufland.media.schwarz/is/image/schwarz/00967491FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00967491.html,100 g ,,1.59 ,mit Paprika,69123,Kaufland,"Fleisch, Geflügel, Wurst"
Delikatess-Leberwurst,https://kaufland.media.schwarz/is/image/schwarz/00011918FRa?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00011918.html,je 100 g ,,0.59 ,"fein, grob oder mit Schnittlauch",69123,Kaufland,"Fleisch, Geflügel, Wurst"
KRAMER Rindersalami,https://kaufland.media.schwarz/is/image/schwarz/00101491FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00101491.html,100 g ,,1.79 ,fein gekörnt,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schnelle Küche »Kräuterschnitzel«,https://kaufland.media.schwarz/is/image/schwarz/00014203?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014203.html,500-g-Packg. (1 kg = 9.98),AKTION,4.99 *,"aus dem Schweinerücken, auf Kräuterrahmsauce,mit Mozzarella,zum Garen im Backofen",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schnelle Küche Geschnetzeltes Ungarische Art,https://kaufland.media.schwarz/is/image/schwarz/00046062a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014353.html,500-g-Packg. (1 kg = 6.58),AKTION,3.29 *,vom Schwein,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Rückensteak Mediterran Style,https://kaufland.media.schwarz/is/image/schwarz/00013362-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014395.html,600-g-Packg. (1 kg = 6.15),,3.69 ,"vom Schwein, mariniert",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schweinehackfleisch,https://kaufland.media.schwarz/is/image/schwarz/00080278a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00080278.html,500-g-Packg. (1 kg = 4.98),,2.49 ,zum Braten,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-WERTSCHÄTZE Bauchscheiben Western Style,https://kaufland.media.schwarz/is/image/schwarz/00014061-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014417.html,350-g-Packg. (1 kg = 6.83),,2.39 ,"vom Schwein, mariniert,3 Stück",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Original Thüringer Rostbratwurst,https://kaufland.media.schwarz/is/image/schwarz/00014423c?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014423.html,4 St. = 400-g-Packg. (1 kg = 5.98),,2.39 ,roh,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schweinenackensteak Western Style,https://kaufland.media.schwarz/is/image/schwarz/00035311?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00035311.html,kg ,AKTION,5.79 *,"mariniert, 6 Stück",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schweinefilet,https://kaufland.media.schwarz/is/image/schwarz/00051003?JGstbGVnYWN5LW9uc2l0ZS0yJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00051003.html,kg ,,6.99 ,"am Stück, für raffinierte Spießvariationen fürGrill und Pfanne",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Schinkenschnitzel,https://kaufland.media.schwarz/is/image/schwarz/00015206?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014387.html,600-g-Packg. (1 kg = 6.65),,3.99 ,"aus der Oberschale,saftig und zart",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Rinderschmorbraten,https://kaufland.media.schwarz/is/image/schwarz/00054338b?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00054338.html,kg ,,9.99 ,"vom Jungbullen, aus der Keule, zart und saftig",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Pfeffer-Rumpsteak,https://kaufland.media.schwarz/is/image/schwarz/00013131a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013131.html,kg (entspr. z. B. für eine 300-g-Packg. 3.89),AKTION,12.96 *,"vom Jungbullen, mind. 21 Tage gereift",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Rib-Eye-Steak,https://kaufland.media.schwarz/is/image/schwarz/00011968?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00011968.html,je kg (entspr. z. B. für eine 300-g-Packg. 4.19),,13.96 ,"vom Jungbullen,mit Pfeffer-Paprika- oder Kräuternote",69123,Kaufland,"Fleisch, Geflügel, Wurst"
WESTFALENLAND Côte de Bœuf,https://kaufland.media.schwarz/is/image/schwarz/00013683?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013683.html,kg (entspr. z. B. für eine 500-g-Packg. 7.99),AKTION,15.98 *,"Hochrippe vom Rind, mit Knochen",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Rinderspieße,https://kaufland.media.schwarz/is/image/schwarz/00014404?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014493.html,400-g-Packg. (1 kg = 14.98),,5.99 ,"mit Trüffel-Pfeffer-Würzung,zum Grillen und Braten",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-FAVOURITES Amerik. Rinderhüftsteak,https://kaufland.media.schwarz/is/image/schwarz/00014262?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014262.html,kg (entspr. z. B. für eine 250-g-Packg. 5.99),AKTION,23.96 *,mind. 21 Tage gereift,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Puten-Grillies,https://kaufland.media.schwarz/is/image/schwarz/01146794?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01146794.html,300-g-Packg. (1 kg = 8.30),,2.49 ,"aus fein zerkleinertem Putenfleisch,mariniert, am Spieß",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Hähnchen-Geschnetzeltes,https://kaufland.media.schwarz/is/image/schwarz/01144876?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01144876.html,400-g-Packg. (1 kg = 8.98),,3.59 ,aus dem Brustfilet,69123,Kaufland,"Fleisch, Geflügel, Wurst"
> Langsam wachsende Rasse > 100 % pflanzliches Futter > Fütterung ohne GentechnikNATURE & RESPECT Franz. Maishähnchen aus Freilandhaltung,https://kaufland.media.schwarz/is/image/schwarz/01381908?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01381908.html,"kg (entspr. z. B. für ein 1,3-kg-Stück 6.49)",,4.99 ,"HKL A, grillfertig",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND XXL-Puten-Hackfleisch,https://kaufland.media.schwarz/is/image/schwarz/01342663?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01342663.html,1-kg-Großpackg. ,AKTION,5.99 *,zum Braten,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-PURLAND Puten-Unterkeule,https://kaufland.media.schwarz/is/image/schwarz/01144950?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01144950.html,900-g-Packg. (1 kg = 4.22),,3.79 ,HKL A,69123,Kaufland,"Fleisch, Geflügel, Wurst"
Crunchy Chicken Patties,https://kaufland.media.schwarz/is/image/schwarz/01426502a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01426502.html,je 500-g-Großpackg. (1 kg = 9.98),AKTION,4.99 *,"knusprige Hähnchen-Patties American Style,Classic oder Hot",69123,Kaufland,"Fleisch, Geflügel, Wurst"
SAM'S Straußen-Steaks,https://kaufland.media.schwarz/is/image/schwarz/00014466?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014466.html,kg (entspr. z. B. für eine 250-g-Packg. 4.99),,19.95 ,"vorgegrillt, in delikater Marinade,2 Stück",69123,Kaufland,"Fleisch, Geflügel, Wurst"
WILLMS Neuseel. Lammfilets,https://kaufland.media.schwarz/is/image/schwarz/00013719?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013719.html,kg (entspr. z. B. für eine 280-g-Packg. 6.69),AKTION,23.89 *,in Kräutermarinade,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-CLASSIC Fränk. Rostbratwurst,https://kaufland.media.schwarz/is/image/schwarz/00176796a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00176796.html,5 St. = 350-g-Packg. (1 kg = 8.55),,2.99 ,"gebrüht, im Schafsaitling",69123,Kaufland,"Fleisch, Geflügel, Wurst"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00886976.html,,,,,69123,Kaufland,"Fleisch, Geflügel, Wurst"
WIESENHOF Bruzzzler,https://kaufland.media.schwarz/is/image/schwarz/00161224?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00161224.html,je 350 - 400-g-Packg. (1 kg = 9.48 - 10.83),,3.79 ,"Geflügel-Bratwürste, versch. Sorten",69123,Kaufland,"Fleisch, Geflügel, Wurst"
CAMPOFRIO Chorizo-Griller,https://kaufland.media.schwarz/is/image/schwarz/00966454?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00966454.html,je 330-g-Packg. (1 kg = 10.58),,3.49 ,"nach span. Art, mild oder scharf",69123,Kaufland,"Fleisch, Geflügel, Wurst"
HEIDEGRUND Fleischwurst,https://kaufland.media.schwarz/is/image/schwarz/00012809?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00012809.html,je 500-g-Stück (1 kg = 4.78),,2.39 ,auch mit Knoblauch verfeinert,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-CLASSIC Bayr. Leberkäse,https://kaufland.media.schwarz/is/image/schwarz/00178640_P_480442?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00178640.html,je 2 x 200-g-Packg. (1 kg = 7.48),,2.99 ,"versch. Sorten,ofengebacken",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-CLASSIC Curry-Bockwurst,https://kaufland.media.schwarz/is/image/schwarz/00906830_P_741714?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00906830.html,3 St. = 540-g-Packg. (1 kg = 5.54),,2.99 ,"in Eigenhaut, knackig und würzig",69123,Kaufland,"Fleisch, Geflügel, Wurst"
MONTORSI Prosciutto Cotto,https://kaufland.media.schwarz/is/image/schwarz/00122689?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00122689.html,120-g-Packg. (1 kg = 19.09),,2.29 ,ital. Kochschinken,69123,Kaufland,"Fleisch, Geflügel, Wurst"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01082244.html,,,,,69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-CLASSIC Bacon-Scheiben,https://kaufland.media.schwarz/is/image/schwarz/01121800?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01121800.html,100-g-Packg. (1 kg = 11.10),,1.11 ,"roher Bauchspeck, gepökelt und geräuchert",69123,Kaufland,"Fleisch, Geflügel, Wurst"
HEIDEGRUND Mettwurst,https://kaufland.media.schwarz/is/image/schwarz/00011768?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00011768.html,je Packg. = 2 x 100-g-Portionen (1 kg = 9.95),,1.99 ,"Zwiebelmettwurst, auch in fettreduziert,oder Pfeffermettwurst",69123,Kaufland,"Fleisch, Geflügel, Wurst"
K-FAVOURITES Salami-Sticks,https://kaufland.media.schwarz/is/image/schwarz/00105862?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00105862.html,je 100-g-Packg. (1 kg = 16.90) / (1 kg = 14.90)**,,1.69 ,"Classic, Pikant oder Walnuss,orig. franz. luftgetrockneteMini-Salamis mit Edelschimmel",69123,Kaufland,"Fleisch, Geflügel, Wurst"
TARCZYNSKI Original Polnische Krakauer,https://kaufland.media.schwarz/is/image/schwarz/01204444?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01204444.html,320-g-Packg. (1 kg = 9.35),,2.99 ,gebrühte und geräucherte Wurstspezialität,69123,Kaufland,"Fleisch, Geflügel, Wurst"
BÄUERLICHE ERZEUGERGEMEINSCHAFT SCHWÄBISCH HALL Echt Hällische Wurstspezialität,https://kaufland.media.schwarz/is/image/schwarz/00898010?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00898010.html,je 200-g-Dose (1 kg = 13.95),,2.79 ,"Lyoner, Bratwurst, Schinkenwurstoder Hausmacher Leberwurst",69123,Kaufland,"Fleisch, Geflügel, Wurst"
MEICA Trueman's,https://kaufland.media.schwarz/is/image/schwarz/01416189?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01416189.html,540-g-Glas Abtropfgewicht 350 g (1 kg = 7.98),,2.79 ,"Hot-Dog-Würstchen,American Style, 7 Stück",69123,Kaufland,"Fleisch, Geflügel, Wurst"
Kabeljaufilet,https://kaufland.media.schwarz/is/image/schwarz/00863787FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00863787.html,100 g ,,2.49 ,ohne Haut,69123,Kaufland,Fisch
Zanderfilet,https://kaufland.media.schwarz/is/image/schwarz/04500015FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04500015.html,100 g ,,2.29 ,"mit Haut, aufgetaut",69123,Kaufland,Fisch
"> Mageres, festes Fleisch mit mildem, leicht süßlichem Geschmack > Ideal für Meeresfrüchte-Speisen oder auch als Verfeinerung einer PaellaTintenfisch",https://kaufland.media.schwarz/is/image/schwarz/01249533FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01249533.html,je 100 g ,,2.59 ,"Pulpo vom Oktopus im Flower Style,Calamaris mit Kopf oder Sepia ohne Haut, aufgetaut",69123,Kaufland,Fisch
Rotbarsch geräuchert,https://kaufland.media.schwarz/is/image/schwarz/01050955FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01050955.html,100 g ,,1.99 ,"aus dem Nordostatlantik, heißgeräuchert,mit festem Fleisch",69123,Kaufland,Fisch
Heringsspezialität,https://kaufland.media.schwarz/is/image/schwarz/00907025FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00907025.html,je 100 g ,,1.19 ,"Brathering, Bismarckhering, Rollmopsoder Bratrollmops",69123,Kaufland,Fisch
"Dtsch. Cherryrispentomaten, rot",https://kaufland.media.schwarz/is/image/schwarz/01481760FRa?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01481760.html,200-g-Schale (1 kg = 8.95),AKTION,1.79 *,"Sorte laut Auszeichnung,Kl. I",69123,Kaufland,"Obst, Gemüse, Pflanzen"
"Dtsch. Kopfsalat, Lollo Mix oder Eichblattsalat, lose",https://kaufland.media.schwarz/is/image/schwarz/00398677FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00398677.html,je Stück ,AKTION,0.69 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
Dtsch. Radieschen,https://kaufland.media.schwarz/is/image/schwarz/00377382FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00377382.html,Bund ,AKTION,0.59 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
Dtsch. Speisefrühkartoffeln »Pellissimo«,https://kaufland.media.schwarz/is/image/schwarz/01290682a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01290682.html,je 2-kg-Sack (1 kg = 1.50),AKTION,2.99 *,"vorwiegend festkochend oder festkochend,Sorte laut Auszeichnung,Qualität I",69123,Kaufland,"Obst, Gemüse, Pflanzen"
Dtsch. Stachelbeeren oder Johannisbeeren,https://kaufland.media.schwarz/is/image/schwarz/00370601?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00370601.html,je 500-g-Packg. (1 kg = 5.98),AKTION,2.99 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
"Ital. Honeymoonmelone, lose",https://kaufland.media.schwarz/is/image/schwarz/01187586FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01187586.html,Stück ,AKTION,2.99 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
Dtsch. Erdbeeren,https://kaufland.media.schwarz/is/image/schwarz/00372330FR-3?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01172216.html,400-g-Schale (1 kg = 6.23),AKTION,2.49 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
"Ital./griech. Wassermelone, lose",https://kaufland.media.schwarz/is/image/schwarz/00893638FR-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00893638.html,Stück ,AKTION,7.99 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
"Span. Honigmelone, lose",https://kaufland.media.schwarz/is/image/schwarz/00370122FR-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01125605.html,Stück ,AKTION,1.99 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
Span. Melone Piel de Sapo,https://kaufland.media.schwarz/is/image/schwarz/00399931?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01125673.html,Stück ,AKTION,3.99 *,,69123,Kaufland,"Obst, Gemüse, Pflanzen"
"Span. Wassermelone, lose",https://kaufland.media.schwarz/is/image/schwarz/01172814FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00370155.html,Stück ,AKTION,3.99 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
"Span./ital. Bio-Wassermelone, lose",https://kaufland.media.schwarz/is/image/schwarz/00375764FR-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01233012.html,Stück ,AKTION,2.99 *,"aus kontrolliert biologischer Landwirtschaft,Kl. I",69123,Kaufland,"Obst, Gemüse, Pflanzen"
"Türk./ital. Mini-Wassermelone, lose",https://kaufland.media.schwarz/is/image/schwarz/00375764FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01125666.html,Stück ,AKTION,1.99 *,Kl. I,69123,Kaufland,"Obst, Gemüse, Pflanzen"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=9906926.html,,,,,69123,Kaufland,"Obst, Gemüse, Pflanzen"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=988329_1156195.html,,,,,69123,Kaufland,"Obst, Gemüse, Pflanzen"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=1182246.html,,,,,69123,Kaufland,"Obst, Gemüse, Pflanzen"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=9901562.html,,,,,69123,Kaufland,"Obst, Gemüse, Pflanzen"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=1171153.html,,,,,69123,Kaufland,"Obst, Gemüse, Pflanzen"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=1293777.html,,,,,69123,Kaufland,"Obst, Gemüse, Pflanzen"
Lilien oriental,https://kaufland.media.schwarz/is/image/schwarz/P_630h?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01228413.html,je Bund ,AKTION,2.99 *,"versch. Farben,ohne Deko",69123,Kaufland,"Obst, Gemüse, Pflanzen"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=1431654.html,,,,,69123,Kaufland,"Obst, Gemüse, Pflanzen"
ROYAL ORANGE Mai-Gouda,https://kaufland.media.schwarz/is/image/schwarz/01478919FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01478919.html,100 g ,,0.59 ,"holl. Schnittkäse,48 % Fett i. Tr.",69123,Kaufland,"Molkereiprodukte, Fette"
COMTÉ AOP Franz. Hartkäse,https://kaufland.media.schwarz/is/image/schwarz/01250579FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01250618.html,100 g ,,2.09 ,"6 Monate gereift, aromatisch-würzig,45 % Fett i. Tr.",69123,Kaufland,"Molkereiprodukte, Fette"
SWITZERLAND Appenzeller mild-würzig,https://kaufland.media.schwarz/is/image/schwarz/01252398FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01252403.html,100 g ,,1.99 ,"schweiz. Schnittkäse, mind. 3 Monate gereift,48 % Fett i. Tr.",69123,Kaufland,"Molkereiprodukte, Fette"
SIMMENTAL Buure Chäs,https://kaufland.media.schwarz/is/image/schwarz/01507664FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01507664.html,100 g ,,1.49 ,"aromatisch und herzhaft,50 % Fett i. Tr.",69123,Kaufland,"Molkereiprodukte, Fette"
BONVALLIS Fruchtrolle,https://kaufland.media.schwarz/is/image/schwarz/01248645?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01248645.html,je 180-g-Stück (1 kg = 13.84),,2.49 ,"mit Datteln und Walnüssen oderFeigen und Mandeln, passen perfektzu Käseplatten, aber auch im Müsli oderSalat ein besonderer Genuss",69123,Kaufland,"Molkereiprodukte, Fette"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00429819.html,,,,,69123,Kaufland,"Molkereiprodukte, Fette"
BERCHTESGADENER LAND Frucht & Knusper,https://kaufland.media.schwarz/is/image/schwarz/00422725?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00422725.html,150-g-Becher (1 kg = 3.27),,0.49 ,"Bananenjoghurt mit knusprigen Schokoballs,3,5 % Fett im Milchanteil",69123,Kaufland,"Molkereiprodukte, Fette"
