product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,offer_duration,date
EL GUSTO Chorizo,https://kaufland.media.schwarz/is/image/schwarz/01172909FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01172909.html,,100 g ,"
			KNÜLLER
					",1.49 ,"span. Salami, pikant","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
PICK Echt ungar. Salami,https://kaufland.media.schwarz/is/image/schwarz/00100586FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00100586.html,,100 g ,"
			-43%
					",1.79 ,würzig-aromatisch,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND XXL-Schweinekotelett,https://kaufland.media.schwarz/is/image/schwarz/00016463?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00016463.html,,kg ,"
			-31%
					",4.79 ,"natur, 8-St.-Großpackg.","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Schnelle Küche »Zwiebelschnitzel«,https://kaufland.media.schwarz/is/image/schwarz/00013981?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013981.html,,500-g-Packg. (1 kg = 9.98),,4.99 *,"aus dem Schweinerücken,auf Zwiebelsauce,zum Garen im Backofen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									06.07. - 12.07.
								
",2023-07-08
K-PURLAND Schnelle Küche Geschnetzeltes Gyros Art,https://kaufland.media.schwarz/is/image/schwarz/00051359-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014350.html,,500-g-Packg. (1 kg = 5.98),"
			KNÜLLER
					",2.99 ,"vom Schwein, pfannenfertig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Schweinenackensteak mariniert,https://kaufland.media.schwarz/is/image/schwarz/00010101?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014393.html,,380-g-Packg. (1 kg = 5.24),"
			-39%
					",1.99 ,"Honey Smoke Style,2 Stück","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Schweinerücken am Stück,https://kaufland.media.schwarz/is/image/schwarz/00052803c?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00052803.html,,kg ,"
			-29%
					",5.99 ,besonders zart,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
AXELS Cowboy Ribs,https://kaufland.media.schwarz/is/image/schwarz/00014478?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014478.html,,kg ,,9.99 *,"Spare Ribs vom Schwein, mit beliebter»Axels«-Sauce marininiert, gegart,zum Braten und Grillen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									06.07. - 12.07.
								
",2023-07-08
K-PURLAND Grobe Bratwurst,https://kaufland.media.schwarz/is/image/schwarz/00012435?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00012435.html,,5 St. = 400-g-Packg. (1 kg = 4.98),"
			KNÜLLER
					",1.99 ,vom Schwein,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-BIO Schweine-Nackensteaks,https://kaufland.media.schwarz/is/image/schwarz/00013040_P_743300?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013040.html,,2 St. = 240-g-Packg. (1 kg = 11.63),"
			BILLIGER
					",2.79 ,mariniert,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
