product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,from_to_date
DR. OETKER Backmischung,https://kaufland.media.schwarz/is/image/schwarz/01478007?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01478007.html,je 280 - 462-g-Packg. (1 kg = 4.31 - 7.11),"
			-33%
					",1.99 ,"für Muffins, kleine Kuchenoder Brownies, versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Grundnahrungsmittel,"
29.06. - 05.07.
"
K-CLASSIC Sultaninen,https://kaufland.media.schwarz/is/image/schwarz/01125265_P_208881?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01125265.html,250-g-Packg. (1 kg = 3.16),"
			-20%
					",0.79 ,ungeschwefelt,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Grundnahrungsmittel,"
29.06. - 05.07.
"
SEEBERGER Mango,https://kaufland.media.schwarz/is/image/schwarz/03601471?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=03601471.html,100-g-Packg. (1 kg = 25.90),"
			KNÜLLER
					",2.59 ,"getrocknet, ohne Zuckerzusatz","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Grundnahrungsmittel,"
29.06. - 05.07.
"
JANSSEN Soft-Aprikosen,https://kaufland.media.schwarz/is/image/schwarz/01512329?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01512329.html,200-g-Packg. (1 kg = 9.45),"
			-13%
					",1.89 ,getrocknet und entsteint,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Grundnahrungsmittel,"
29.06. - 05.07.
"
K-CLASSIC Cranberries,https://kaufland.media.schwarz/is/image/schwarz/01255780_P_618733?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01255780.html,200-g-Packg. (1 kg = 8.45),"
			-22%
					",1.69 ,"ganz, gezuckert und getrocknet","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Grundnahrungsmittel,"
29.06. - 05.07.
"
K-CLASSIC Kürbiskerne,https://kaufland.media.schwarz/is/image/schwarz/01092245?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01092245.html,200-g-Packg. (1 kg = 8.45),"
			KNÜLLER
					",1.69 ,naturbelassen,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Grundnahrungsmittel,"
29.06. - 05.07.
"
MANNER Zarties,https://kaufland.media.schwarz/is/image/schwarz/01254485?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01254485.html,je 200-g-Packg. (1 kg = 11.45),,2.29 *,"zarte, knusprige Waffeln mitleckerer Füllung, versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Grundnahrungsmittel,"

									29.06. - 05.07.
								
"
CHIO Dip!,https://kaufland.media.schwarz/is/image/schwarz/02800965a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02800965.html,je 200-ml-Glas (1 l = 6.45),"
			1/2 PREIS
					",1.29 ,"Soßen zum Dippen,Hot Cheese, Mild Salsa oder Hot Salsa","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
K-CLASSIC Sultaninen,https://kaufland.media.schwarz/is/image/schwarz/01125265_P_208881?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01125265.html,250-g-Packg. (1 kg = 3.16),"
			-20%
					",0.79 ,ungeschwefelt,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
TCHIBO Feine Milde,https://kaufland.media.schwarz/is/image/schwarz/01010501?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01010501.html,4 x 250-g-Packg. ,,11.98 *,"natur-milder Kaffeegenuss, gemahlen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","

									29.06. - 05.07.
								
"
EILLES Gourmet,https://kaufland.media.schwarz/is/image/schwarz/02409118?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02409118.html,je 500-g- oder 2 x 250-g-Vak.-Packg. (1 kg = 8.88),"
			-39%
					",4.44 ,"edel-aromatischer Röstkaffee, gemahlen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
IDEE KAFFEE Filterkaffee,https://kaufland.media.schwarz/is/image/schwarz/02404101?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02404101.html,500-g-Vak.-Packg. (1 kg = 8.88),"
			-39%
					",4.44 ,"mild-klassisch, gemahlen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
MELITTA BellaCrema,https://kaufland.media.schwarz/is/image/schwarz/02403707?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02403707.html,je 1-kg-Packg. ,"
			-28%
					",9.99 ,"Röstkaffee in ganzen Bohnen, 100 % Arabica,La Crema oder Speciale","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
DALLMAYR Kaffee-Pads,https://kaufland.media.schwarz/is/image/schwarz/00983736?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00983736.html,je 16 St. = 112-g-Beutel (1 kg = 15.09) / (1 kg = 13.31)**,"
			-26%
					",1.69 ,"Spitzenkaffee, schonend veredelt, Prodomooder Crema d'Oro mild & fein","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","

									29.06. - 05.07.
								
"
STARBUCKS Kaffeekapseln,https://kaufland.media.schwarz/is/image/schwarz/01237744?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01237744.html,je 10 St. = 53 - 57-g-Packg. (1 kg = 61.23 - 65.85),"
			KNÜLLER
					",3.49 ,"für Nespresso-Maschinen,versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
MESSMER Cold Tea,https://kaufland.media.schwarz/is/image/schwarz/01288884?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01288884.html,"je 14 St. = 38,5-g-Packg. (1 kg = 51.69)","
			-33%
					",1.99 ,"für die Wasserflasche,versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
GARDSCHIPS Kartoffelchips,https://kaufland.media.schwarz/is/image/schwarz/01257095?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01257095.html,je 150-g-Beutel (1 kg = 9.94),"
			-31%
					",1.49 ,Tryffel oder Dill und Parmesan,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
FUNNY-FRISCH Kartoffelchips,https://kaufland.media.schwarz/is/image/schwarz/00842294?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00842294.html,je 120 - 150-g-Beutel (1 kg = 9.27 - 11.59),"
			KNÜLLER
					",1.39 ,versch. Sorten Kesselchipsoder Riffels Naturell,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
POM-BÄR Kartoffelsnacks,https://kaufland.media.schwarz/is/image/schwarz/02837086?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02837086.html,je 75-g-Beutel (1 kg = 11.74) / (1 kg = 10.27)**,"
			KNÜLLER
					",0.88 ,versch. Sorten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","

									29.06. - 05.07.
								
"
CHIO Tortillas Chips,https://kaufland.media.schwarz/is/image/schwarz/01505953?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01505953.html,je 110-g-Packg. (1 kg = 9.00),"
			-47%
					",0.99 ,versch. Sorten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
CHIO Popcorn,https://kaufland.media.schwarz/is/image/schwarz/00983345?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00983345.html,je 120-g-Beutel (1 kg = 8.25),"
			KNÜLLER
					",0.99 ,"wie im Kino, süß, Toffee Karamelloder Sweet 'n' Salty","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
K-CLASSIC Salzstangen,https://kaufland.media.schwarz/is/image/schwarz/02802425_P_518511?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01534650.html,250-g-Packg. (1 kg = 2.76),"
			-22%
					",0.69 ,knuspriges Laugengebäck,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
ELEPHANT Baked Squeezed Pretzels,https://kaufland.media.schwarz/is/image/schwarz/01509550?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01509550.html,je 160 - 180-g-Beutel (1 kg = 8.28 - 9.32) / (1 kg = 6.17 - 6.94)**,"
			KNÜLLER
					",1.49 ,"Knabbergebäck, versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","

									29.06. - 05.07.
								
"
SCHOGETTEN Schokolade,https://kaufland.media.schwarz/is/image/schwarz/02587004?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02587004.html,je 100-g-Packg. (1 kg = 6.90),"
			-46%
					",0.69 ,"versch. Sorten, ausgenommen Gold","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
LINDT Mini-Pralinés,https://kaufland.media.schwarz/is/image/schwarz/01018507a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01018507.html,je 100-g-Packg. (1 kg = 39.90),"
			-33%
					",3.99 ,"Mischung aus 20 kleinen, feinen Köstlichkeiten,versch. Designs","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
BALISTO oder TWIX Schokoriegel,https://kaufland.media.schwarz/is/image/schwarz/02510931?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02510931.html,"je 5 - 9 St. = 166,5 - 250-g-Packg. (1 kg = 5.16 - 7.75)","
			-46%
					",1.29 ,versch. Sorten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
NIPPON Puffreis in Schokolade,https://kaufland.media.schwarz/is/image/schwarz/01121579?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01121579.html,je 200-g-Packg. (1 kg = 5.95),"
			-40%
					",1.19 ,in Milch- oder Zartbitterschokolade,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
K-CLASSIC BBQ-Marshmallows,https://kaufland.media.schwarz/is/image/schwarz/01285189?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01285189.html,300-g-Packg. (1 kg = 4.97),"
			-16%
					",1.49 ,ideal zum Grillen,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
SKITTLES Fruits oder Crazy Sours,https://kaufland.media.schwarz/is/image/schwarz/01159296?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01159296.html,je 160-g-Packg. (1 kg = 6.19),"
			-33%
					",0.99 ,fruchtige Kaubonbons,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
LOOK O LOOK Süßigkeiten,https://kaufland.media.schwarz/is/image/schwarz/01475605?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01475605.html,je 30 - 135-g-Packg. (1 kg = 10.30 - 46.34),"
			-22%
					",1.39 ,"Regenbogenstreifen, Party Mix, Süßer Schmuck,Lippenstifte oder Schnullies","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
LOTUS BISCOFF Karamellkeks,https://kaufland.media.schwarz/is/image/schwarz/01495750?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01495750.html,250-g-Packg. (1 kg = 5.96),"
			-16%
					",1.49 ,knusprig-leichte Konsistenz undkultige Form,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
LEIBNIZ Kekse,https://kaufland.media.schwarz/is/image/schwarz/02818698?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02818698.html,je 150 - 200-g-Packg. (1 kg = 4.45 - 5.94),"
			KNÜLLER
					",0.89 ,"Butterkeks, Kakaokeks oder-30 % Zucker","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
K-CLASSIC Cookies,https://kaufland.media.schwarz/is/image/schwarz/01032059_P_149537?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01032059.html,je 200 - 210-g-Packg. (1 kg = 6.15 - 6.45),"
			-13%
					",1.29 ,versch. Sorten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
OREO Doppelkekse,https://kaufland.media.schwarz/is/image/schwarz/00871609?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00871609.html,je 154 - 157-g-Packg. (1 kg = 8.22 - 8.38),"
			KNÜLLER
					",1.29 ,"aus zwei Kekshälften miteiner Cremefüllung,versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","
29.06. - 05.07.
"
MANNER Zarties,https://kaufland.media.schwarz/is/image/schwarz/01254485?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01254485.html,je 200-g-Packg. (1 kg = 11.45),,2.29 *,"zarte, knusprige Waffeln mitleckerer Füllung, versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Kaffee, Tee, Süßwaren, Knabberartikel","

									29.06. - 05.07.
								
"
COCA-COLA Erfrischungsgetränk,https://kaufland.media.schwarz/is/image/schwarz/00905991?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00905991.html,"je 6 x 0,33-l-PET-Fl. (1 l = 1.51)","
			-18%
					",2.99 ,"koffeinhaltig,auch als Zero(+ 1.50 Pfand)","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
DR. PEPPER Erfrischungsgetränk,https://kaufland.media.schwarz/is/image/schwarz/00930996c?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00930996.html,"je 0,33-l-Dose (1 l = 2.40)","
			-27%
					",0.79 ,"koffeinhaltig, Original oder mit Kirschgeschmack(+ 0.25 Pfand)","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
COCA-COLA Vanilla oder FANTA Cassis,https://kaufland.media.schwarz/is/image/schwarz/01131371?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01131371.html,"je 0,33-l-Dose (1 l = 3.61)","
			-23%
					",1.19 ,"Erfrischungsgetränke, teilw. koffeinhaltig(+ 0.25 Pfand)","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
EMYO Limonade,https://kaufland.media.schwarz/is/image/schwarz/01544800?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01507860.html,"je 0,33-l-Dose (1 l = 3.00)",,0.99 *,"Blueberry Bay, Mermaid Fantasy,Orange Family oder Amazing Apple(+ 0.25 Pfand)","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","

									29.06. - 05.07.
								
"
ORANGINA Original oder Rouge,https://kaufland.media.schwarz/is/image/schwarz/01189486?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01189486.html,"je 0,5-l-PET-Fl. (1 l = 1.98)","
			-23%
					",0.99 ,"natürliche Limonade, mit Fruchtfleisch(+ 0.25 Pfand)","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02005787.html,,,,,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen",
S.PELLEGRINO Mineralwasser,https://kaufland.media.schwarz/is/image/schwarz/01114917?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01114917.html,1-l-PET-Fl. ,"
			-11%
					",0.88 ,mit Kohlensäure(+ 0.25 Pfand),"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02069789.html,,,,,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen",
VITAVATE Vitaminwasser,https://kaufland.media.schwarz/is/image/schwarz/01532545?JGstbGVnYWN5LW9uc2l0ZS0yJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01532545.html,"je 0,5-l-Fl. (1 l = 1.76)",,0.88 *,versch. Sorten(+ 0.25 Pfand),"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","

									29.06. - 05.07.
								
"
HOHES C Fruchtsaft,https://kaufland.media.schwarz/is/image/schwarz/01425453?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01425453.html,je 1-l-PET-Fl. ,"
			KNÜLLER
					",1.39 ,versch. Sorten(+ 0.25 Pfand),"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
CAPRI-SUN Fruchtsaftgetränk,https://kaufland.media.schwarz/is/image/schwarz/02005209?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02005209.html,"je 10 x 0,2-l-Packg. (1 l = 1.25)","
			KNÜLLER
					",2.49 ,versch. Sorten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
WATERDROP Microdrink,https://kaufland.media.schwarz/is/image/schwarz/01347715?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01347715.html,je 12 St. = 24-g-Packg. (1 kg = 228.75),"
			-21%
					",5.49 ,"Drops mit Frucht- und Pflanzenextraktenzum Verfeinern und Aromatisieren des Wassers,versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
RAMAZZOTTI Crema Cappuccino,https://kaufland.media.schwarz/is/image/schwarz/01290982?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01290982.html,"0,7-l-Fl. (1 l = 15.70)","
			-21%
					",10.99 ,"ital. Cremelikör, 17 Vol. %","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01196373.html,,,,,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen",
VERPOORTEN Eierlikör,https://kaufland.media.schwarz/is/image/schwarz/02273613?JGstbGVnYWN5LW9uc2l0ZS0yJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02273613.html,"0,7-l-Fl. (1 l = 15.70)","
			-15%
					",10.99 ,20 Vol. %,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
MALIBU Kokoslikör,https://kaufland.media.schwarz/is/image/schwarz/02257525?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02257525.html,"0,7-l-Fl. (1 l = 14.28)","
			KNÜLLER
					",9.99 ,"mit weißem Rum, 21 Vol. %","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
STÁVROS OUZO,https://kaufland.media.schwarz/is/image/schwarz/02283076?JGstbGVnYWN5LW9uc2l0ZS0yJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02283076.html,"0,7-l-Fl. (1 l = 8.56)","
			-14%
					",5.99 ,"griech. Anis-Spezialität, produziert und abgefülltin Griechenland, 38 Vol. %","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
MALFY Gin Rosa,https://kaufland.media.schwarz/is/image/schwarz/01290977?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01290977.html,"0,7-l-Fl. (1 l = 34.28)","
			-20%
					",23.99 ,"ital. Premium-Gin, saftig-frischer Geschmackdurch Botanicals wie sizilian. Pink Grapefruitund Rhabarber, 41 Vol. %","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
PITÚ Caipirinha oder Passionsfrucht oder ASBACH Cola,https://kaufland.media.schwarz/is/image/schwarz/01268246?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01268246.html,"je 0,33-l-Dose (1 l = 6.03)","
			-26%
					",1.99 ,"Mixgetränk,z. T. koffeinhaltig, 10 Vol. %(+ 0.25 Pfand)","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
BOTUCAL Mantuano Rum,https://kaufland.media.schwarz/is/image/schwarz/01126279a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01126279.html,"0,7-l-Fl. (1 l = 34.28)",,23.99 *,"komplex und intensiv, Aromen vonTrockenfrüchten und Vanille,40 Vol. %","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","

									29.06. - 05.07.
								
"
KILBEGGAN Traditional Irish Whiskey,https://kaufland.media.schwarz/is/image/schwarz/02101541a?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02101541.html,"0,7-l-Fl. (1 l = 15.70)","
			-26%
					",10.99 ,"2-fach destilliert, aus derältesten Destillerie Irlands,40 Vol. %","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
SOUTHERN COMFORT Whiskey-Likör,https://kaufland.media.schwarz/is/image/schwarz/02213957?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02213957.html,"0,7-l-Fl. (1 l = 14.28)","
			-25%
					",9.99 ,"klassischer Whiskey-Geschmack mitangenehm süßer Note, auch lecker im Mix mit Cola,35 Vol. %","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
JACK DANIEL'S Tennessee-Whiskey,https://kaufland.media.schwarz/is/image/schwarz/02182616?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02182616.html,"je 0,7-l-Fl. (1 l = 21.42)","
			-25%
					",14.99 ,"Original, mit kraftvollem, würzigem Geschmack,oder Honey, 35 - 40 Vol. %","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Getränke, Spirituosen","
29.06. - 05.07.
"
