product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
SanLucar Saftorangen,https://offer-images.api.edeka/267fdffa-fca1-48b4-8ccb-a31988a054bf_Orangen_Saftorangen_Morgensonne_1500g_Girsack.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 1,5-kg-Netz",Kein Etikett,3.33,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Bio Mangos,https://offer-images.api.edeka/63d8b1e4-08f8-4eda-8039-9733e239c486_AdobeStock_52874381.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus der Dominikanischen Republik oder der Elfenbeinküste, Klasse II, Stück",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
La Cubana Limetten,https://offer-images.api.edeka/8f76b6ed-1d6f-4d1b-8a99-600c31e1c0df_80471646-EDK_HAV_PERS.LIMET.VN_I_6ST_FT-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Vietnam, Klasse I, 6er-Schale
 
• Nach der Ernte unbehandelt",Kein Etikett,2.22,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Innocent Smoothie,https://offer-images.api.edeka/63af04c0-ebc7-4185-bc58-dcf207ff31d9_5038862348102_Mango_Maracuja_Apfel.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, 0,25-L-Flasche
 
• In der Kühlung erhältlich",Kein Etikett,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Innocent Direktsaft,https://offer-images.api.edeka/a99029c9-8e07-49d6-bd31-a3a3bfd38c51_5038862430906.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"0,33-L-Flasche
 
• In der Kühlung erhältlich",Kein Etikett,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Valensina Klassischer Morgen,https://offer-images.api.edeka/b778adbd-aa2b-4a3d-ad0f-ed965cd43cb6_4009491015605.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, 1-L-Flasche
 
• In der Kühlung erhältlich",Kein Etikett,2.19,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Cocktail-Rispentomaten,https://offer-images.api.edeka/3034d1c1-daf1-46a8-a040-22b3f235a307_80141068-UH_COCK.RISTOM_DE-BW_I_300G_KT-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 300-g-Schale",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Mini Pflaumentomaten,https://offer-images.api.edeka/d4a836cd-c7d2-463c-ab77-009d88ac11b2_80813790-UH_MI.ROM.TOM.DE-BW_I_200G_KE-B.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 200-g-Becher",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Bio Möhren,https://offer-images.api.edeka/01b0ebc3-52a8-4d6f-a91c-fffca2efed2c_4311527016235_VOR-02.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Italien, Klasse II, 1-kg-Beutel",Kein Etikett,1.79,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Champignons weiß oder braun,https://offer-images.api.edeka/e72c293f-1a83-4f64-b0b2-6f0e995314ba_80219145-UH_CHAMP.WE_MI.DE-HE_I_300G_FT-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 300-g-Packung",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
