product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
LANGNESE Cremissimo,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/32177199.png0/jcr:content/32177199.png,No Payback Points,https://www.penny.de/angebote/highlights-der-woche/langnese-cremissimo,No Payback Condition,"je 1.300 ml

								(1 Liter = 1.45)",-52%,1.88,"Bourbon Vanille, je 1.300 ml (1 Liter = 1.45) oder
Solero, je 900 ml (1 Liter = 2.09)",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-10,10.07. - 15.07.
LANGNESE Cremissimo,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/KW28_Cemissimo.png/jcr:content/KW28_Cemissimo.png,No Payback Points,https://www.penny.de/angebote/highlights-der-woche/langnese-cremissimo1,No Payback Condition,"Preis mit Coupon: 1.77 €, Preis ohne Coupon: 1.88 €, je 850ml–1.300ml-Packung",App Coupon,1.77*,"Gültig vom 10.7.2023 bis 15.7.2023
Banana Peanut vegan
• Preis mit Coupon: 1.77 €
• Preis ohne Coupon: 1.88 €
• Je 850ml-Packung
• Grundpreis mit App Coupon: 1l = 2.08 €
• Grundpreis ohne App Coupon: 1l = 2.21 €
Stracciatella, Schokolade, Walnuss, Vanille vegan, Erdbeer Joghurt, Strawberry Cheesecake oder a la Solero
• Preis mit Coupon: 1.77 €
• Preis ohne Coupon: 1.88 €
• Je 900ml-Packung
• Grundpreis mit App Coupon: 1l = 1.97 €
• Grundpreis ohne App Coupon: 1l = 2.09 €
Vanille
• Preis mit Coupon: 1.77 €
• Preis ohne Coupon: 1.88 €
• Je 1.300ml-Packung
• Grundpreis mit App Coupon: 1l = 1.36 €
• Grundpreis ohne App Coupon: 1l = 1.45 €",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-10,10.07. - 15.07.
WEIHENSTEPHAN Haltbare Milch,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/26243806.png/jcr:content/26243806.png,No Payback Points,https://www.penny.de/angebote/15A-06/highlights-der-woche/weihenstephan-haltbare-milch0,No Payback Condition,je 1-Liter-Packung,Preisknaller,0.99,"3,5% oder 1,5% Fett",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-10,10.07. - 15.07.
MÜHLENHOF Schweine-Schnitzel*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/37635221.png/jcr:content/37635221.png,No Payback Points,https://www.penny.de/angebote/highlights-der-woche/muehlenhof-schweine-schnitzel,No Payback Condition,"je 800-g-Packung

								(1 kg = 7.49)",Aktion,5.99,"Aus der Oberschale, im Frischfleischregal, aus Haltungsform 2",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-10,10.07. - 15.07.
MELITTA Kaffee*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/21439610.png/jcr:content/21439610.png,No Payback Points,https://www.penny.de/angebote/highlights-der-woche/melitta-kaffee?hide=true,No Payback Condition,"je 500-g-Packung

								(1 kg = 8.98)",-40%,4.49,"Gemahlen, verschiedene Sorten",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-10,10.07. - 15.07.
Kokos-Eiskaffee,https://cdn.penny.de/.imaging/mte/penny/storygallery-sm/dam/PENNY-erleben/Rezepte-und-Ernährung/mittendrin-1-23/09-Kokos-Eiskaffee/1080x1350px.jpg/jcr:content/1080x1350px.jpg,No Payback Points,https://www.penny.de/erleben/rezepte-und-ernaehrung/kokos-eiskaffee,No Payback Condition,No Product Quantity,No Tag Label,,No Product Information,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-10,10.07. - 15.07.
OETTINGER Pils,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/22750852.png0/jcr:content/22750852.png,No Payback Points,https://www.penny.de/angebote/15A-06/highlights-der-woche/oettinger-pils,No Payback Condition,"je 20 x 0,5-Liter-Flaschen-Kasten

								(1 Liter = 0.60)",-33%,5.99,Zzgl. 3.10 Pfand,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-10,10.07. - 15.07.
MARKTLIEBE Mango*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/11526210.png/jcr:content/11526210.png,No Payback Points,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-mango,No Payback Condition,je Stück,Aktion,0.79,"Faserarm
Elfenbeinküste, Costa Rica, Kolumbien, Sorte: Keitt, Kent, Palmer, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-10,10.07. - 15.07.
MARKTLIEBE Helle Tafeltrauben,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/24491068.png/jcr:content/24491068.png,No Payback Points,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-helle-tafeltrauben,No Payback Condition,je kg,-40%,2.99,"Italien, Sorte: Victoria, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-10,10.07. - 15.07.
MARKTLIEBE Deutsche  Erdbeeren*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/28138435.png/jcr:content/28138435.png,No Payback Points,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-deutsche-erdbeeren,No Payback Condition,"z.B. 500 g

								(1 kg = 5.38)",Aktion,2.69,Kl. I,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-10,10.07. - 15.07.
Deutsche Brombeeren*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/25531287.png0/jcr:content/25531287.png,No Payback Points,https://www.penny.de/angebote/15A-06/obst-und-gemuese/deutsche-brombeeren3?hide=true,No Payback Condition,"je 125-g-Schale

								(1 kg = 14.32)",Aktion,1.79,"Aus Baden-Württemberg
KI. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-10,10.07. - 15.07.
Fruitancy Cheese,https://cdn.penny.de/.imaging/mte/penny/fullwidth-desktop-lg/dam/PENNY-erleben/Rezepte-und-Ernährung/rezepte-content/2021/Q2/drag-rezepte/fruitancy-cheese/Penny-Drag-Kaesespiess-I-Foto-Jennifer-Braun-262-46.jpg/jcr:content/Penny%20Drag%20Kaesespiess%20I%20Foto%20Jennifer%20Braun-262-164.jpg,No Payback Points,https://www.penny.de/erleben/rezepte-und-ernaehrung/fruitancy-cheese,No Payback Condition,No Product Quantity,No Tag Label,,No Product Information,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-10,10.07. - 15.07.
