product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
GRÜNLÄNDER Käsescheiben,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/35037761.png0/jcr:content/35037761.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/gruenlaender-kaesescheiben,Keine Payback-Bedingung,"je 140-g-Packung

								(1 kg = 9.93)",-48%,1.39,"Mild & nussig, 48% Fett i. Tr., je 140-g-Packung (1 kg = 9.93) oder
Käse-Duo, 48% Fett i. Tr., je 120-g-Packung (1 kg = 11.58)",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-17,17.07. - 22.07.
MÜHLENHOF Frische Hähnchen-Brustfilets*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/26992431.png/jcr:content/26992431.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/muehlenhof-frische-haehnchen-brustfilets,Keine Payback-Bedingung,je 1.000-g-Packung,Aktion,7.99,"XXL-Packung
Im Frischfleischregal, aus Haltungsform 2",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-17,17.07. - 22.07.
Pfirsiche,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/24324453.png0/jcr:content/24324453.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/pfirsiche,Keine Payback-Bedingung,je 1-kg-Schale,-26%,1.69,"Spanien, Italien, Griechenland, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-17,17.07. - 22.07.
DALLMAYR Kaffee prodomo*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/26202544.png/jcr:content/26202544.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/dallmayr-kaffee-prodomo?hide=true,Keine Payback-Bedingung,"je 500-g-Packung

								(1 kg = 11.38)",-32%,5.69,"Versch.Sorten, gemahlen",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-17,17.07. - 22.07.
Kokos-Eiskaffee,https://cdn.penny.de/.imaging/mte/penny/storygallery-sm/dam/PENNY-erleben/Rezepte-und-Ernährung/mittendrin-1-23/09-Kokos-Eiskaffee/1080x1350px.jpg/jcr:content/1080x1350px.jpg,Keine Payback-Punkte,https://www.penny.de/erleben/rezepte-und-ernaehrung/kokos-eiskaffee,Keine Payback-Bedingung,Keine Mengenangaben,Kein Etikett,0,Keine Produktinformation,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-17,17.07. - 22.07.
Pfirsiche,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/KW29_Pfirsiche.png/jcr:content/KW29_Pfirsiche.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/pfirsiche0,Keine Payback-Bedingung,"Preis mit Coupon: 1.49 €, Preis ohne Coupon: 1.69 €, je 1kg-Schale",App Coupon,1.49*,"Gültig vom 17.7.2023 bis 22.7.2023
• Spanien, Italien, Griechenland
• Klasse 1
• Preis mit Coupon: 1.49 €
• Preis ohne Coupon: 1.69 €
• Je 1kg-Schale",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-17,17.07. - 22.07.
"COCA-COLA, MEZZO MIX, FANTA oder SPRITE",https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/36211699.png/jcr:content/36211699.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/coca-cola-mezzo-mix-fanta-oder-sprite,Keine Payback-Bedingung,"je 1,25-Liter-PET-Flasche

								(1 Liter = 0.63)",-41%,0.79,"COCA-COLA und FANTA nicht in allen Filialen erhältlich.

1,25 Liter
Erfrischungsgetränke, versch.Sorten, tw. koffeinhaltig, mit/ohne Zucker, zzgl. 0.25 Pfand",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-17,17.07. - 22.07.
Junior-Helden Deutsche rote Äpfel*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/38561622.png/jcr:content/38561622.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/junior-helden-deutsche-rote-aepfel,Keine Payback-Bedingung,"je 1,5-kg-Beutel

								(1 kg = 1.86)",Aktion,2.79,"Erzeugnis aus der Umstellung auf die biologische Landwirtschaft
Sorte: siehe Etikett, Kl. II",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-17,17.07. - 22.07.
ZESPRI Sun Gold Kiwi *,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/39685556.png/jcr:content/39685556.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/zespri-sun-gold-kiwi-?hide=true,Keine Payback-Bedingung,je Stück,Aktion,0.66,"Süß & saftig
Neuseeland, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-17,17.07. - 22.07.
Grüner Detox-Smoothie,https://cdn.penny.de/.imaging/mte/penny/fullwidth-desktop-lg/dam/PENNY-erleben/Rezepte-und-Ernährung/mittendrin-1-23/19-Detox-Smoothie/5760x1461px.jpg/jcr:content/5760x1461px.jpg,Keine Payback-Punkte,https://www.penny.de/erleben/rezepte-und-ernaehrung/detox-smoothie,Keine Payback-Bedingung,Keine Mengenangaben,Kein Etikett,0,Keine Produktinformation,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-17,17.07. - 22.07.
Deutsche bunte Salate,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/16024000.png/jcr:content/16024000.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/15A-06-73/obst-und-gemuese/deutsche-bunte-salate,Keine Payback-Bedingung,je Stück,Kein Etikett,1.19,"Aus Baden-Württemberg
Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-17,17.07. - 22.07.
Süßkirschen*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/13543260.png/jcr:content/13543260.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/suesskirschen,Keine Payback-Bedingung,"je 100 g

								(1 kg = 3.90)",Aktion,0.39,"Türkei, Griechenland, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-17,17.07. - 22.07.
Avocado,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/12857660.png/jcr:content/12857660.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/15A-06-73/obst-und-gemuese/avocado,Keine Payback-Bedingung,je Stück,Aktion,0.69,"Peru, Südafrika, Sorte: Hass, Kl. I,",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-17,17.07. - 22.07.
Deutsche Einlegegurken*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/28175044.png/jcr:content/28175044.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/15A-06-73/obst-und-gemuese/deutsche-einlegegurken,Keine Payback-Bedingung,"je 2-kg-Packung

								(1 kg = 1.85)",Aktion,3.69,Kl. I,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-17,17.07. - 22.07.
MARKTLIEBE Zwiebeln Bravos,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/KW29_Zwiebeln.png/jcr:content/KW29_Zwiebeln.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/marktliebe-zwiebeln-bravos,Keine Payback-Bedingung,"Preis mit Coupon: 0.99 €, Preis ohne Coupon: 1.49 €, je 500g-Netz",App Coupon,0.99*,"Gültig vom 17.7.2023 bis 22.7.2023
• Deutschland, Niederlande, Neuseeland
• Klasse 2
• Preis mit Coupon: 0.99 €
• Preis ohne Coupon: 1.49 €
• Je 500g-Netz
• Grundpreis mit App Coupon: 1kg = 1.98 €
• Grundpreis ohne App Coupon: 1kg = 2.98 €",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-17,17.07. - 22.07.
