product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
GRÜNLÄNDER Käsescheiben,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/35037761.png0/jcr:content/35037761.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/gruenlaender-kaesescheiben,Keine Payback-Bedingung,"je 140-g-Packung

								(1 kg = 9.93)",-48%,1.39,"Mild & nussig, 48% Fett i. Tr., je 140-g-Packung (1 kg = 9.93) oder
Käse-Duo, 48% Fett i. Tr., je 120-g-Packung (1 kg = 11.58)",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-18,17.07. - 22.07.
MÜHLENHOF Frische Hähnchen-Brustfilets*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/26992431.png/jcr:content/26992431.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/muehlenhof-frische-haehnchen-brustfilets,Keine Payback-Bedingung,je 1.000-g-Packung,Aktion,7.99,"XXL-Packung
Im Frischfleischregal, aus Haltungsform 2",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-18,17.07. - 22.07.
Pfirsiche,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/24324453.png0/jcr:content/24324453.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/pfirsiche,Keine Payback-Bedingung,je 1-kg-Schale,-26%,1.69,"Spanien, Italien, Griechenland, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-18,17.07. - 22.07.
Pfirsiche,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/KW29_Pfirsiche.png/jcr:content/KW29_Pfirsiche.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/pfirsiche0,Keine Payback-Bedingung,"Preis mit Coupon: 1.49 €, Preis ohne Coupon: 1.69 €, je 1kg-Schale",App Coupon,1.49*,"Gültig vom 17.7.2023 bis 22.7.2023
• Spanien, Italien, Griechenland
• Klasse 1
• Preis mit Coupon: 1.49 €
• Preis ohne Coupon: 1.69 €
• Je 1kg-Schale",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-18,17.07. - 22.07.
DALLMAYR Kaffee prodomo*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/26202544.png/jcr:content/26202544.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/dallmayr-kaffee-prodomo,Keine Payback-Bedingung,"je 500-g-Packung

								(1 kg = 11.38)",-32%,5.69,"Versch.Sorten, gemahlen",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-18,17.07. - 22.07.
"COCA-COLA, MEZZO MIX, FANTA oder SPRITE",https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/36211699.png/jcr:content/36211699.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/highlights-der-woche/coca-cola-mezzo-mix-fanta-oder-sprite,Keine Payback-Bedingung,"je 1,25-Liter-PET-Flasche

								(1 Liter = 0.63)",-41%,0.79,"COCA-COLA und FANTA nicht in allen Filialen erhältlich.

1,25 Liter
Erfrischungsgetränke, versch.Sorten, tw. koffeinhaltig, mit/ohne Zucker, zzgl. 0.25 Pfand",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Highlights der Woche,2023-07-18,17.07. - 22.07.
Junior-Helden Deutsche rote Äpfel*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/38561622.png/jcr:content/38561622.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/junior-helden-deutsche-rote-aepfel,Keine Payback-Bedingung,"je 1,5-kg-Beutel

								(1 kg = 1.86)",Aktion,2.79,"Erzeugnis aus der Umstellung auf die biologische Landwirtschaft
Sorte: siehe Etikett, Kl. II",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-18,17.07. - 22.07.
Süßkirschen*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/13543260.png/jcr:content/13543260.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/suesskirschen,Keine Payback-Bedingung,"je 100 g

								(1 kg = 3.90)",Aktion,0.39,"Türkei, Griechenland, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-18,17.07. - 22.07.
ZESPRI Sun Gold Kiwi *,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-29/food/39685556.png/jcr:content/39685556.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/obst-und-gemuese/zespri-sun-gold-kiwi-,Keine Payback-Bedingung,je Stück,Aktion,0.66,"Süß & saftig
Neuseeland, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Obst und Gemüse,2023-07-18,17.07. - 22.07.
