product_information,product_id
"ProduktbeschreibungArtikelnummer 8849689Der Klassiker: typisch mild-nussiger LEERDAMMER® Geschmack; laktosefrei (Gehalt an Laktose < 0,1 g/100 g), ohne Gentechnik, in der wiederverschließbaren Click-Verpackung.Zutaten & AllergeneZutaten: pasteurisierte MILCH, Speisesalz, Milchsäurebakterien (MILCH), mikrobielles Lab.Allergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.460 kJEnergie352 kcalFett27,5 gFett, davon gesättigte Fettsäuren18,5 gKohlenhydrate< 0,1 gKohlenhydrate, davon Zucker< 0,1 gEiweiß26 gSalz1,5 gCalcium860 mgHinweiseAufbewahrungs- und Verwendungshinweis: Bei +4°C - +8°C mindestens haltbar bis: siehe VerpackungsaufdruckInformation: Gehalt an Laktose < 0,1 g/100 gUnter Schutzatmosphäre verpackt.ArtikeldetailsMarke: LeerdammerUrsprungsland: NiederlandeKontaktKontaktname: Royal Lactalis Leerdammer B.V.Kontaktadresse: PO Box 1306, 4145 ZG Schoonrewoerd, The Netherlands/NiederlandeMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",8849689
"ProduktbeschreibungArtikelnummer 5175232Seit mehr als 50 Jahren präsentiert sich Jacobs Krönung als einer der beliebtesten Kaffees der Deutschen und begeistert die Genießer durch das unnachahmliche Verwöhnaroma. Zutaten & AllergeneAllergenhinweise: Enthält: Keine deklarationspflichtigen Allergene enthalten.HinweiseAufbewahrungs- und Verwendungshinweis: Trocken und kühl lagern.ArtikeldetailsMarke: JacobsUrsprungsland: DeutschlandKontaktKontaktname: JACOBS DOUWE EGBERTSKontaktadresse: Oosterdoksstraat 80, 1011 DK Amsterdam, The NetherlandsMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",5175232
"ProduktbeschreibungArtikelnummer 1056372Eine ausgewogene Kaffeemischung für aromatischen und vollmundigen Geschmack aus mittelstark gerösteten Arabica- und Robusta-Bohnen mit einer sanften Crema. Ideal geeignet für deine Senseo Pad-Maschine. Ein aromatischer, ausgewogener Kaffee aus mittelstark gerösteten Arabica- und Robusta-Bohnen mit einer sanften Crema. Entdecken Sie die SENSEO® Kaffee-Vielfalt und genießen Sie Tasse für Tasse ein aromatisches Abenteuer. 
100% Rainforest Alliance zertifizierter und nachhaltig erzeugter Kaffee in biologisch abbaubaren Pads*.
*Nach EN 13432 biologisch abbaubar und industriell kompostierbar.Zutaten & AllergeneAllergenhinweise: Enthält: Keine deklarationspflichtigen Allergene enthalten.HinweiseAufbewahrungs- und Verwendungshinweis: Wir empfehlen, die SENSEO® Kaffeepads nach dem ersten Öffnen gut verschlossen an einem trockenen Ort vor Wärme geschützt zu lagern und innerhalb von 2-3 Wochen aufzubrauchen.Information: unter Schutzatmosphäre verpacktArtikeldetailsMarke: SenseoUrsprungsland: NiederlandePackungsgröße: 16 PadsKontaktKontaktname: JACOBS DOUWE EGBERTSKontaktadresse: Oosterdoksstraat 80, 1011 DK Amsterdam, The NetherlandsMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1056372
"ProduktbeschreibungArtikelnummer 7282457Die Nr. 1 Marke in vertrauter Zewa Qualität: Zewa Wisch&Weg Original Haushaltstücher mit innovativer Power-X-Struktur und Marken-Bordüre, sind extra saugstark und hygienisch - ein Blatt kann ausreichen.* Die innovative Power-X-Struktur der Nr. 1 Marke in vertrauter Zewa Qualität hält die Küchenrolle stark und reißfest, während ihre weichen Kissen besonders gut absorbieren. So können die Haushaltstücher durch die verbesserte Wabentechnologie Flüssigkeit aufnehmen - ganz ohne zu reißen. Es eignet sich als perfekter Helfer für den Küchenalltag, ist im Haushalt vielseitig einsetzbar und das Original überzeugt auch optisch mit der Markenbordüre. 
 
Mit den Haushaltstüchern von Zewa Wisch&Weg lässt sich im Handumdrehen jeder Schmutz und jeder Fleck entfernen – ob auf der Kleidung, der Küchenablage oder dem Boden. Das robuste Papier eignet sich zum Aufwischen, Schrubben, Polieren und Aufsaugen, ohne dabei Fussel zu hinterlassen. 
 
Durch die optimierte Perforation lassen sich die einzelnen Tücher ganz leicht abreißen und es wird kein Papier verschwendet. Durch die hervorragende Qualität wurden die Zewa Wisch&Weg Haushaltstücher im Rahmen einer Umfrage des brancheführenden Magazins Lebensmittel Praxis (LP) von den Verbrauchern zum Produkt des Jahres 2019 gewählt. 
 
Zewa Wisch&Weg ist nicht nur hygienisch und praktisch, sondern auch nachhaltig, denn die Verpackung ist zu 100% recycelbar und reduziert durch die Verwendung von recyceltem Plastik den CO2-Fußabdruck**. Die Tücher bleiben 100% biologisch abbaubar. So sorgt Zewa Wisch&Weg für weniger Plastikmüll und mehr Wohlbefinden. * - Die Nr. 1 Marke in vertrauter Zewa Qualität: Zewa Wisch & Weg Original ist für alle Haushaltsaufgaben geeignet 
- Nassfest, wringfest, schrubbfest 
- Innovative Power-X-Struktur hält Zewa Haushaltstücher stark und reißfest 
- Ein Blatt kann ausreichen* 
- Besonders saugfähige Kissen 
- CO2-reduzierte Verpackung zu 100% recycelbar (gemäß ISO 18604) und aus über 30% recyceltem Plastik hergestellt - für weniger Plastikmüll**... mehr anzeigenArtikeldetailsMarke: ZewaUrsprungsland: DeutschlandKontaktKontaktname: Essity Germany GmbHKontaktadresse: Sandhofer Strasse 176,68305 MannheimMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",7282457
"ProduktbeschreibungArtikelnummer 8925470Zutaten & AllergeneZutaten: HARTWEIZENGRIESSAllergenhinweise: Enthält: Weizen und Weizenerzeugnisse (glutenhaltiges Getreide). Kann enthalten: Soja und Sojaerzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.510 kJEnergie356 kcalFett1,9 gFett, davon gesättigte Fettsäuren0,8 gKohlenhydrate71,8 gKohlenhydrate, davon Zucker3,5 gBallaststoffe3 gEiweiß11,5 gSalz0,008 gHinweiseAufbewahrungs- und Verwendungshinweis: Kühl und trocken lagern.Information: Füllhöhe technisch bedingt.ArtikeldetailsMarke: DelverdeUrsprungsland: ItalienPackungsgröße: 500gKontaktKontaktname: Newlat GmbHKontaktadresse: 68070 MannheimMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",8925470
"ProduktbeschreibungArtikelnummer 7004174Zutaten & AllergeneAllergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.167 kJEnergie282 kcalFett24 gFett, davon gesättigte Fettsäuren16 gKohlenhydrate0,7 gKohlenhydrate, davon Zucker0,7 gEiweiß15 gSalz2,7 gHinweiseAufbewahrungs- und Verwendungshinweis: Bitte verzehren Sie es nach dem Öffnen innerhalb von 3 Tagen. Bei +4 - +8°C mindestens haltbar bis: siehe VerpackungsaufdruckInformation: 52% Fett i.Tr.ArtikeldetailsMarke: PatrosNettofüllmenge: 180 GUrsprungsland: DeutschlandKontaktKontaktname: PatrosKontaktadresse: Kemptener Straße 17 D-88178 HeimenkirchFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",7004174
"ProduktbeschreibungArtikelnummer 7999917Frisch für dich aus unserer Servicetheke. 
 
Zutaten: pasteurisierte MILCH, Salz, tierisches Lab, Säurewecker, Konservierungsstoff: Natriumnitrat, Natamycin, Farbstoff: Annatto. 
 
Laktosefrei* 
*Laktosegehalt: unter 0, 1g/100g 
 
Kunststoffüberzug nicht zum Verzehr geeignet! 
 
Nährwerte je 100g: 
Energie: 1788kJ 
Energie: 431kcal 
Fett: 35g 
Fett, davon gesättigt: 23,3g 
Kohlenhydrate: 0g 
Kohlenhydrate, davon Zucker: 0g 
Eiweiß: 29g 
Salz: 2,3g Zutaten & AllergeneAllergenhinweise: nullNährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.788 kJEnergie431 kcalFett35 gFett, davon gesättigte Fettsäuren23,3 gKohlenhydrate0 gKohlenhydrate, davon Zucker0 gEiweiß29 gSalz2,3 gArtikeldetailsMarke: WestlandMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",7999917
"Bestellung ab 18 Jahren.Für dieses Produkt gilt das Jugendschutzgesetz.ProduktbeschreibungArtikelnummer 416754Mumm Dry Jahrgangssekt wird aus erlesenen Weinen der besten Herkunftsgebiete gewonnen. Der trockene Sekt hat einen feinfruchtigen Charakter. Mit seiner zeitlosen Eleganz wird er zu einem geschmacklichen Erlebnis in Jahrgangsqualität. Das weinige Bukett und die dezenten Chardonnay-Noten verleihen dem trockenen Sekt seinen besonderen Charakter. Sein ausgewogener Geschmack lässt den Jahrgangssekt zu einem edlen Genuss mit einem langanhaltenden, feinen Perlenspiel werden. Mit dem Mumm Dry Jahrgangssekt wird jeder Moment im Leben zu etwas Besonderem. Man trinkt ihn zu feierlichen und stilvollen Anlässen wie Hochzeiten oder Geburtstagen. Der Mumm Sekt eignet sich auch ideal als Basis für geschmackvoll Cocktails und Drinks. 

Mumm Dry überzeugt als: 
- trockener Sekt aus edlen Weinen eines Jahrgangs 
- feinfruchtiger Premium-Sekt mit eleganter Raffinesse 
- geschmackliches Erlebnis mit dezenten Chardonnay-Noten
- feinperliger Premium-Sekt für die besonderen Momente des Lebens

Mit einem Sektverschluss bleibt der frische Charakter dieses Sektes länger erhalten. Er schmeckt bei einer Trinktemperatur von 5 bis 7°C am besten.... mehr anzeigenDie elegante Cuvée erlesener Weine bester Herkunftsgebiete prägt den trockenen und feinfruchtigen Charakter von Mumm DryJahrgang. Sein feines, lang anhaltendes Perlenspiel und sein harmonisch-weiniges, reines Bouquet unterstreichen stilvoll seine Individualität und Klasse.Zutaten & AllergeneZutaten: enthält SulfiteAllergenhinweise: Enthält: Schwefeldioxid und Sulfite.ArtikeldetailsMarke: Mumm & Co.Ursprungsland: DeutschlandAlkoholgehalt: 11,5 % Vol.Packungsgröße: 0,75lKontaktKontaktname: Godefroy H. von Mumm & Co. Sektkellereien GmbHKontaktadresse: 65239 Hochheim/MainMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",416754
"ProduktbeschreibungArtikelnummer 6730531Fanta Orange schmeckt unglaublich prickelnd und super orangig. Fanta ist einfach köstlich und macht jetzt noch mehr Spaß! Trinke Fanta. Lebe bunter! In der 1,5 L wiederverschließbaren PET Einwegflasche. Die perfekte Größe für das gemeinsame Essen mit der Familie. Zutaten & AllergeneZutaten: Wasser, Zucker, Orangensaft aus Orangensaftkonzentrat, Kohlensäure, Säuerungsmittel Citronensäure, Citrusextrakt, natürliches Orangenaroma mit anderen natürlichen Aromen, Antioxidationsmittel Ascorbinsäure, Farbstoff Carotine, Stabilisator GuarkernmehlNährwerteDurchschnittliche NährwerteUnzubereitet pro 100 mlEnergie160 kJEnergie38 kcalFett0 gFett, davon gesättigte Fettsäuren0 gKohlenhydrate9,1 gKohlenhydrate, davon Zucker9,1 gEiweiß0 gSalz0,01 gArtikeldetailsMarke: FantaNettofüllmenge: 1,5 LUrsprungsland: DeutschlandPackungsgröße: 1,5lKontaktKontaktname: Coca-Cola European Partners Deutschland GmbHKontaktadresse: Postfach 67 01 56, 10207 BerlinFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",6730531
"Bestellung ab 18 Jahren.Für dieses Produkt gilt das Jugendschutzgesetz.ProduktbeschreibungArtikelnummer 199257Unser Jim Beam ist elegant, weich und raffiniert. Das ist das Ergebnis von 4 Jahren Reifezeit in frisch ausgeflammten Fässern aus amerikanischer Weißeiche. 
 
 Kein anderer Bourbon Whiskey ist wie Jim Beam – der original „Kentucky Straight Bourbon Whiskey“. Hergestellt aus mindestens 51 Prozent Mais und frischem, eisenfreien Quellwasser, wird der beliebteste Bourbon der Welt in neue, ausgeflammte Fässer aus amerikanischer Weißeiche abgefüllt. In den typischen, mehrstöckigen Lagerhäusern eingelagert, reift er über vier Jahre zu einem ganz besonderen Tropfen – und damit doppelt so lange, wie es das Bourbon-Gesetz verlangt. 
 Ganz gleich, ob man ihn gemeinsam mit Freunden genießt oder für sich allein, ob pur, auf Eis oder als Longdrink – Jim Beam ist der Klassiker, um große Momente gebührend zu feiern. 
 
 Tasting Notes: 
 Farbe: Tiefer, klarer Goldton 
 Aroma: Eichige Vanille mit würzigem Unterton 
 Geschmack: Voll und mild durch Karamell und Vanille, facettenreich durch warme Holznoten 
 Abgang: Lang und anhaltend... mehr anzeigenNährwerteDurchschnittliche NährwerteUnzubereitet pro 100 mlEnergie925 kJEnergie221 kcalArtikeldetailsMarke: Jim BeamUrsprungsland: SpanienAlkoholgehalt: 40 % Vol.Serviervorschlag: JIM BEAM® HIGHBALLFill long drink glass with ice. Squeeze fresh lemon wedge. Add 2 parts Jim Beam and top with soda. Stir and garnish with lemonKontaktKontaktname: Beam Suntory Deutschland GmbHKontaktadresse: Unterschweinstiege 2-14, 60549 Frankfurt am MainMaximale Bestellmenge: 7 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",199257
