product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Barilla Pasta,https://img.rewe-static.de/REWE28_2023/6653839/20768970-25_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,,,"versch. Ausformungen , je 500-g-Pckg , (1 kg = 1.90)",Knaller,"0,95 €","b'ProduktbeschreibungArtikelnummer 6653839Fusilli erschienen in ihrer heutigen Form zuerst in S\xc3\xbcditalien und sind urspr\xc3\xbcnglich der Idee entsprungen, Spaghetti auf einer Stricknadel aufzuwickeln. Erst sp\xc3\xa4ter, bedingt durch die unterschiedlichen geschmacklichen Gewohnheiten in den verschiedenen italienischen Regionen, entstanden Fusilli als eigenst\xc3\xa4ndige Sorte. Im Rahmen des Sortiments von Barilla - Italiens beliebtester Pasta - wurde die Pastasorte Fusilli neu interpretiert und erhielt ihre charakteristische Spiralform, die f\xc3\xbcr die Tradition von Mittel- und Norditalien typisch ist.... mehr anzeigenZutaten & AllergeneZutaten: HARTWEIZENGRIESS, Wasser. Kann Spuren von Sojabohnen enthalten.Allergenhinweise: Enth\xc3\xa4lt: Weizen und Weizenerzeugnisse (glutenhaltiges Getreide). Glutenhaltiges Getreide und glutenhaltige Getreideerzeugnisse. Kann enthalten: Soja und Sojaerzeugnisse.N\xc3\xa4hrwerteDurchschnittliche N\xc3\xa4hrwerteUnzubereitet pro 100 gEnergie1.521 kJEnergie359 kcalFett2 gFett, davon ges\xc3\xa4ttigte Fetts\xc3\xa4uren0,5 gKohlenhydrate71,2 gKohlenhydrate, davon Zucker3,5 gBallaststoffe3 gEiwei\xc3\x9f12,5 gSalz0,013 gHinweiseAufbewahrungs- und Verwendungshinweis: Trocken und vor W\xc3\xa4rme gesch\xc3\xbctzt lagern.ArtikeldetailsMarke: BarillaUrsprungsland: ItalienKontaktKontaktname: Barilla G. e R. Fratelli - Societ\xc3\xa0 per AzioniKontaktadresse: Via Mantova 166, Parma - ItalyF\xc3\xbcr die vorstehenden Angaben wird keine Haftung \xc3\xbcbernommen. Bitte pr\xc3\xbcfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.'",Am Grünen Hag 2,Rewe,Topangebote,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
Ehrmann Almighurt,https://img.rewe-static.de/REWE28_2023/7659300/9176090-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,,,"versch. Sorten , je 150-g-Becher , (1 kg = 2.20)",Knaller,"0,33 €","b'ProduktbeschreibungArtikelnummer 7659300Erlesene Fruchtzubereitung aus Deutschland.Gute Allg\xc3\xa4uer Milch von Familienh\xc3\xb6fen.Zutaten & AllergeneZutaten: JOGHURT mild, Zucker, Heidelbeeren 6,8%, modifizierte St\xc3\xa4rke, f\xc3\xa4rbendes Pflanzenkonzentrat (Karotte), Verdickungsmittel (Pektine, Guarkernmehl), Aroma. Ohne Konservierungsstoffe.Allergenhinweise: Enth\xc3\xa4lt: JoghurtEnth\xc3\xa4lt: Milch und Milcherzeugnisse (einschlie\xc3\x9flich Lactose). Milchzucker (Laktose).N\xc3\xa4hrwerteDurchschnittliche N\xc3\xa4hrwerteUnzubereitet pro 100 gEnergie389 kJEnergie92 kcalFett2,7 gFett, davon ges\xc3\xa4ttigte Fetts\xc3\xa4uren1,8 gKohlenhydrate14 gKohlenhydrate, davon Zucker13 gEiwei\xc3\x9f3 gSalz0,1 gHinweiseAufbewahrungs- und Verwendungshinweis: Bei max. +8 \xc2\xb0C mindestens haltbar bis: siehe DeckelArtikeldetailsMarke: EhrmannUrsprungsland: DeutschlandSorte: HeidelbeereKontaktKontaktname: Ehrmann GmbHKontaktadresse: A.-Ehrmann-Stra\xc3\x9fe 2, 87770 Obersch\xc3\xb6neggMaximale Bestellmenge: 15 St\xc3\xbcckF\xc3\xbcr die vorstehenden Angaben wird keine Haftung \xc3\xbcbernommen. Bitte pr\xc3\xbcfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.'",Am Grünen Hag 2,Rewe,Topangebote,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
Lavazza Caffè Crema Classico oder Crema e Aroma,https://img.rewe-static.de/REWE28_2023/0293182/30798874-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,,,"ganze Bohnen , je 1000-g-Btl",Knaller,"9,99 €","b'ProduktbeschreibungArtikelnummer 293182Eine sehr vielseitige Mischung aus Arabica und Robusta Bohnen. HinweiseAufbewahrungs- und Verwendungshinweis: trocken lagern.ArtikeldetailsMarke: LavazzaUrsprungsland: ItalienKontaktKontaktname: LUIGI LAVAZZA S.p.A.Kontaktadresse: C. SO NOVARA, 59- 10154 TORINO - ITALIAMaximale Bestellmenge: 15 St\xc3\xbcckF\xc3\xbcr die vorstehenden Angaben wird keine Haftung \xc3\xbcbernommen. Bitte pr\xc3\xbcfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.'",Am Grünen Hag 2,Rewe,Topangebote,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
Campofrio Serrano-Schinken,https://img.rewe-static.de/REWE28_2023/0515409/31641266-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,,,je 100 g,Aktion,"2,19 €","b'ProduktbeschreibungArtikelnummer 515409Frisch f\xc3\xbcr dich aus unserer Servicetheke. \n \nZutaten: Schweinefleisch, Salz, Konservierungsstoff: Kaliumnitrat, Natriumnitrit. \n \nN\xc3\xa4hrwerte je 100g: \nEnergie: 889kJ \nEnergie: 2120kcal \nFett: 10g \nFett, davon ges\xc3\xa4ttigte Fetts\xc3\xa4uren: 3,8g \nKohlenhydrate: 0,5g \nKohlenhydrate, davon Zucker: 0,5g \nEiwei\xc3\x9f: 30g \nSalz: 5g Zutaten & AllergeneAllergenhinweise: nullN\xc3\xa4hrwerteDurchschnittliche N\xc3\xa4hrwerteUnzubereitet pro 100 gEnergie889 kJEnergie212 kcalFett10 gFett, davon ges\xc3\xa4ttigte Fetts\xc3\xa4uren3,8 gKohlenhydrate0,5 gKohlenhydrate, davon Zucker0,5 gEiwei\xc3\x9f30 gSalz5 gArtikeldetailsMarke: CampofrioMaximale Bestellmenge: 15 St\xc3\xbcckF\xc3\xbcr die vorstehenden Angaben wird keine Haftung \xc3\xbcbernommen. Bitte pr\xc3\xbcfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.'",Am Grünen Hag 2,Rewe,Topangebote,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
Eisbergsalat,https://img.rewe-static.de/REWE28_2023/1366237/36750087-3_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=1366237,,"Kl. I , je St",Aktion,"0,75 €",,Am Grünen Hag 2,Rewe,Topangebote,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
Iglo Gemüse-Ideen Italienisch,https://img.rewe-static.de/REWE28_2023/0529482/2971930-72_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/p/iglo-gemuese-ideen-italienisch-480g/529482,,"tiefgefroren , je 480-g-Pckg , (1 kg = 4.63)",Aktion,"2,22 €","ProduktbeschreibungArtikelnummer 529482Die iglo Gemüse-Idee Italienisch ist eine knackige Gemüsemischung, verfeinert mit mediterranen Kräutern. Das Gemüse wird erntefrisch tiefgefroren, damit die vielen wichtigen Vitamine erhalten bleiben. Denn eine zubereitete Portion des italienischen Pfannengemüses deckt über 50% des täglichen Vitamin A-Bedarfs. Die Gemüse-Idee Italienisch lässt sich einfach und schnell in der Mikrowelle oder in der Pfanne zubereiten. Außerdem enthält das Produkt keine Geschmacksverstärker und Farbstoff- und Aromazusätze.
- Verfeinert mit mediterranen Kräutern
- Ohne Zusatz von künstlichen Aromen, Farbstoffen und Geschmacksverstärkern
- Schnelle und einfache Zubereitung
- Vegan
- Tiefgefroren... mehr anzeigenZutaten & AllergeneZutaten: Gemüsemischung (93%) (Brechbohnen, Paprika, Karotten, Zucchini, Zwiebel Brokkoli;in veränderlichen Gewichtsanteilen), pflanzliche Fette und Öle (Palmfett***,Kokosnussöl,Palmkernöl***),Kräutermischung(roteZwiebel, Petersilie,Basilikum,Knoblauch,Thymian,Oregano),Gemüsebrühe (Dextrose,Salz,Karotten,Zwiebeln,Lauch,Schalotten,Tomaten,Paprika), Wasser,Zucker,Salz,Gewürze.  Dieses Produkt enthält zertifiziertes nachhaltiges Palmfett/ Palmkernöl.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie233 kJEnergie56 kcalFett2,7 gFett, davon gesättigte Fettsäuren1,8 gKohlenhydrate4,9 gKohlenhydrate, davon Zucker4,3 gBallaststoffe2,4 gEiweiß1,8 gSalz0,85 gHinweiseAufbewahrungs- und Verwendungshinweis: Aufbewahrung zu Hause: *** - Fach oder Tiefkühltruhe (bei minus 18° C) mindestens haltbar bis Ende: siehe links, Aufbewahrung zu Hause: ** - Fach 2 Wochen, Aufbewahrung zu Hause: * - Fach 1-3 Tage Information: Nach dem Auftauen nicht wieder einfrieren. Vor Verzehr durcherhitzen.ArtikeldetailsMarke: IgloEigenschaften: Vegan, LaktosefreiUrsprungsland: DeutschlandSorte: ItalienischKontaktKontaktname: iglo GmbHKontaktadresse: Postfach 570 521, 22774 HamburgMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",Am Grünen Hag 2,Rewe,Dein Markt für italienischen Genuss,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
REWE Beste Wahl Thymian,https://img.rewe-static.de/REWE28_2023/8414795/31134576-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/p/rewe-beste-wahl-thymian-gerebelt-16g/8414795,,"gerebelt , je 16-g-Glas , (1 kg = 86.88)",Aktion,"1,39 €","ProduktbeschreibungArtikelnummer 8414795Zutaten & AllergeneZutaten:  Kann Spuren von Gluten, Senf und Sellerie enthalten.HinweiseAufbewahrungshinweise: Trocken und kühl lagern. Vor Licht schützen.Verwendungshinweise: Trocken lagern. Vor Wärme schützen.ArtikeldetailsMarke: REWE Beste WahlUrsprungsland: BelgienKontaktKontaktname: ISFI SPICES S.A.Kontaktadresse: 20, avenue de l'industrie, 1420 Braine- l`Alleud, BelgienMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",Am Grünen Hag 2,Rewe,Dein Markt für italienischen Genuss,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
Zitronen,https://img.rewe-static.de/REWE28_2023/8131318/8722460-33_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=8131318,,"Sorte: siehe Etikett, Kl. I , je 500-g-Netz , (1 kg = 2.58)",Aktion,"1,29 €",,Am Grünen Hag 2,Rewe,Dein Markt für italienischen Genuss,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
Mövenpick Salted Caramel,https://img.rewe-static.de/REWE28_2023/7713567/38472507-14_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/p/moevenpick-salted-caramel-eis-800ml/7713567,,"je 800-ml-Becher , (1 l = 2.49)",Aktion,"1,99 €","ProduktbeschreibungArtikelnummer 7713567Eis mit Vanillegeschmack, mit gesalzener Karamellsauce, Karamellstückchen und kakaobutterhaltigen Konfektstückchen mit KaramellgeschmackZutaten & AllergeneZutaten: Entrahmte MILCH, MOLKENERZEUGNIS, Glukosesirup, Zucker,pflanzliche Fette (Kokos, Shea), gezuckerte KONDENSMILCH (eingedickte VOLLMILCH, Zucker, MILCHZUCKER), gezuckerte KONDENSMAGERMILCH (eingedickte entrahmte MILCH, Zucker), Emulgatoren (Mono- und Diglyceride von Speisefettsäuren, Lecithine), Verdickungsmittel (Johannisbrotkernmehl, Guarkernmehl), Kakaobutter*, Salz, VOLLMILCHPULVER, BUTTERFETT, Feuchthaltemittel (Glycerin), färbende Frucht- und Gemüsekonzentrate (schwarze Johannisbeere, Apfel, Zitrone, Karotte, Rettich), färbendes Saflorkonzentrat, natürliche Vanillearomen, Kakaomasse*, MILCHZUCKER, natürliche Aromen. *Rainforest Alliance-zertifiziert. Mehr Informationen unter ra.org.KANN SCHALENFRÜCHTE, GLUTENHALTIGE GETREIDE, SOJA UND EIER ENTHALTEN. Wichtig: Kleinkinder (unter 4 Jahren) verfügenüber eine verminderte Kaufähigkeit und könnten sich an kleinen Stückchen verschlucken.Allergenhinweise: MILCH, MOLKENERZEUGNIS, KONDENSMILCH, VOLLMILCH, MILCHZUCKER, KONDENSMAGERMILCH, VOLLMILCHPULVER, BUTTERFETT.Enthält: Milch und Milcherzeugnisse (einschließlich Lactose). Kann enthalten: Glutenhaltiges Getreide und glutenhaltige Getreideerzeugnisse. Eier und Eierzeugnisse. Nüsse und Nusserzeugnisse. Soja und Sojaerzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.009 kJEnergie240 kcalFett9,5 gFett, davon gesättigte Fettsäuren8,2 gKohlenhydrate37 gKohlenhydrate, davon Zucker29 gBallaststoffe< 0,5 gEiweiß2 gSalz0,29 gHinweiseAufbewahrungs- und Verwendungshinweis: Bei -18 °C mindestens haltbar bis Ende: siehe VerpackungsaufdruckInformation: Wichtig: Kleinkinder (unter 4 Jahren) verfügenüber eine verminderte Kaufähigkeit und könnten sich an kleinen Stückchen verschlucken.ArtikeldetailsMarke: MövenpickUrsprungsland: DeutschlandKontaktKontaktname: FRONERI Schöller GmbHKontaktadresse: D-90419 NürnbergMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",Am Grünen Hag 2,Rewe,Dein Markt für italienischen Genuss,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
Mövenpick Stracciatella Classico,https://img.rewe-static.de/REWE28_2023/8725654/35463369-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/p/moevenpick-stracciatella-classico-900ml/8725654,,"je 900-ml-Becher , (1 l = 2.21)",Aktion,"1,99 €","ProduktbeschreibungArtikelnummer 8725654Cremiges Eis mit Stracciatellageschmack mit Schokoladenstückchen und einer Schokoladensauce.Zutaten & AllergeneZutaten: Entrahmte MILCH, MOLKENERZEUGNIS, Glukosesirup, Zucker, Kokosfett, Sojaöl, VOLLMILCHPULVER, fettarmer Kakao** (1,3 %), Kakaobutter**, Kakaomasse**, Emulgatoren (Mono- und Diglyceride von Speisefettsäuren, Lecithine (SOJA)), Verdickungsmittel (Johannisbrotkernmehl, Guarkernmehl), natürliche Aromen (enthalten MILCH), Aroma. **Rainforest Alliance-zertifiziert. Mehr Informationen unter ra.org. KANN SCHALENFRÜCHTE, GLUTENHALTIGE GETREIDE UND EIER ENTHALTEN. Wichtig: Kleinkinder (unter 4 Jahren) verfügen über eine verminderte Kaufähigkeit und könnten sich an kleinen Stückchen verschlucken.Allergenhinweise: Milch, Molkenerzeugnis, Schlagsahne, SojaEnthält: Milch und Milcherzeugnisse (einschließlich Lactose). Soja und Sojaerzeugnisse. Kann enthalten: Eier und Eierzeugnisse. Nüsse und Nusserzeugnisse. Glutenhaltiges Getreide und glutenhaltige Getreideerzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.079 kJEnergie258 kcalFett15 gFett, davon gesättigte Fettsäuren9,9 gKohlenhydrate28 gKohlenhydrate, davon Zucker23 gBallaststoffe0,7 gEiweiß2,9 gSalz0,09 gHinweiseAufbewahrungs- und Verwendungshinweis: Bei -18 °C mindestens haltbar bis Ende: siehe VerpackungsaufdruckInformation: Wichtig: Kleinkinder (unter 4 Jahren) verfügen über eine verminderte Kaufähigkeit und könnten sich an kleinen Stückchen verschlucken. Packung enthält 9 Portionen. Portionen sollten für Kinder entsprechend ihrem Alter angepasst werden.ArtikeldetailsMarke: MövenpickUrsprungsland: DeutschlandKontaktKontaktname: FRONERI Schöller GmbHKontaktadresse: D-90419 NürnbergMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",Am Grünen Hag 2,Rewe,Dein Markt für italienischen Genuss,2023-07-09,"Gültig ab morgen bis Samstag, 15.07.2023"
