product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store
Osborne Solaz Tempranillo / Cabernet Sauvignon,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0899275/4773610-41_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#899275,,"trocken , je 0,75-l-Fl , (1 l = 6.65)",Aktion,"4,99 €","trocken , je 0,75-l-Fl , (1 l = 6.65)",Im Weiher 14,Rewe
Cinzano Asti Spumante DOCG,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/5042100/2292700-48_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#5042100,,"je 0,75-l-Fl , (1 l = 6.67)",Aktion,"5,00 €","je 0,75-l-Fl , (1 l = 6.67)",Im Weiher 14,Rewe
Gallo Family Vineyards,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0349170/5377630-25_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#349170,,"versch. Sorten, halbtrocken , je 0,75-l-Fl , (1 l = 6.65)",Aktion,"4,99 €","versch. Sorten, halbtrocken , je 0,75-l-Fl , (1 l = 6.65)",Im Weiher 14,Rewe
Valdo Prosecco DOCG oder Vino Spumante DOC,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8693960/25364124-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8693960,,"versch. Sorten , je 0,75-l-Fl , (1 l = 13.32)",Aktion,"9,99 €","versch. Sorten , je 0,75-l-Fl , (1 l = 13.32)",Im Weiher 14,Rewe
Tavernello Bianco oder Rosso Tafelwein,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0169624/35089403-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#169624,,"trocken , je 1-l-Pckg",Aktion,"1,99 €","trocken , je 1-l-Pckg",Im Weiher 14,Rewe
Peter & Peter Riesling oder Grauer Burgunder QbA,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/7220273/27538512-5_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#7220273,,"feinherb, trocken , je 0,75-l-Fl , (1 l = 6.65)",Aktion,"4,99 €","feinherb, trocken , je 0,75-l-Fl , (1 l = 6.65)",Im Weiher 14,Rewe
Somersby Sparkling Cider,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/7850637/34663952-14_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#7850637,,"versch. Sorten , je 0,33-l-Dose , (1 l = 3.03) , zzgl. 0.25 Pfand",Aktion,"1,00 €","versch. Sorten , je 0,33-l-Dose , (1 l = 3.03) , zzgl. 0.25 Pfand",Im Weiher 14,Rewe
Aperol Aperitif Bitter,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8423910/30682098-21_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8423910,,"11% Vol. , je 0,7-l-Fl , (1 l = 14.27)",Aktion,"9,99 €","11% Vol. , je 0,7-l-Fl , (1 l = 14.27)",Im Weiher 14,Rewe
"Nedis Turmventilator »FNTR14CWT40«
            3",https://img.rewe-static.de/REWE_CENTER_HZ26_2023/7733669/39480654-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#7733669,,"ca. 76 x 24 x 24 cm 3-Geschwindigkeitsstufen Timer für 20–120 min. Oszillationsfunktion , je St",Knaller,"30,00 €","ca. 76 x 24 x 24 cm 3-Geschwindigkeitsstufen Timer für 20–120 min. Oszillationsfunktion , je St",Im Weiher 14,Rewe
Pely Müllbeutel,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8442104/31322106-5_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8442104,,"Extra Stark , je 17-St.-Pckg",Knaller,"1,99 €","Extra Stark , je 17-St.-Pckg",Im Weiher 14,Rewe
Pely Müllbeutel,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8440608/31322456-5_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8440608,,"Extra Stark , je 15-St.-Pckg",Knaller,"1,99 €","Extra Stark , je 15-St.-Pckg",Im Weiher 14,Rewe
"Bosch Promoline Mixed Set 38-teilig
            3",https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0056387/39327403-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#56387,,"23 langlebige Schrauberbits, 25 mm lang, für alle standardmäßigen Schraubentypen 7 Steckschlüssel für Sechskantschrauben, Ø 5/6/7/8/10/11/13 mm 4 Sechskantschlüssel 3/4/5/6 mm 1 Universalhalter, magnetisch 1 Taschenlampe 1 Handschrauber, Ratschenfunktion 1 Adapter für Steckschlüssel , je Set",Knaller,"16,99 €","23 langlebige Schrauberbits, 25 mm lang, für alle standardmäßigen Schraubentypen 7 Steckschlüssel für Sechskantschrauben, Ø 5/6/7/8/10/11/13 mm 4 Sechskantschlüssel 3/4/5/6 mm 1 Universalhalter, magnetisch 1 Taschenlampe 1 Handschrauber, Ratschenfunktion 1 Adapter für Steckschlüssel , je Set",Im Weiher 14,Rewe
"Brita Wasserfilter-Kanne »Marellla«
            3",https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8918631/39365538-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8918631,,"mit praktischem Klappdeckel zum Befüllen ca. 2,4 l inkl. 1 Maxtra Pro All-in-1 , je Pckg",Aktion,"16,99 €","mit praktischem Klappdeckel zum Befüllen ca. 2,4 l inkl. 1 Maxtra Pro All-in-1 , je Pckg",Im Weiher 14,Rewe
